articleId,articleGroup,articleName,quantitySold,netRevenue
AR90004,Pfand,"Leergut 0,25 EUR",920.0,193.01
AR90003,Pfand,"Leergut 0,15 EUR",384.0,49.31
AR90002,Pfand,"Leergut 0,08 EUR",207.0,14.05
AR90013,Energydrinks,"Red Bull 0,25",227.0,205.35
AR90015,Energydrinks,Red Bull Zero,88.0,91.9
AR90014,Energydrinks,"Red Bull Sugar Free 0,25",78.0,92.04
AR90012,Energydrinks,Red Bull Green Edition,78.0,80.87
AR90011,Energydrinks,Red Bull White Edition,41.0,41.3
AR90055,Energydrinks,Red Bull Summer Edition,39.0,40.28
AR90054,Energydrinks,Red Bull Sea Blue Edition,30.0,26.69
AR90010,Energydrinks,"Monster Energy 0,5l",18.0,33.3
AR90016,Energydrinks,Red Bull Blue Edition,17.0,17.07
AR00395,Protein Riegel,Koro Protein Bar Schoko Brownie,108.0,252.5
AR00394,Protein Riegel,Koro Protein Bar Pistachio,106.0,287.24
AR00010,Protein Riegel,Protein Bar Chocolate,76.0,70.83
AR00009,Protein Riegel,Protein Bar Caramell Toffee,73.0,68.08
AR00011,Protein Riegel,Protein Bar Vanilla Stracci,54.0,50.33
AR00396,Protein Riegel,Koro Protein Bar Peanut Chocolate,28.0,57.67
AR00041,Protein Riegel,Barebells Soft Protein Coco Choco 55g,15.0,46.24
AR00397,Protein Riegel,Koro Protein Bar Butter Cups,14.0,32.75
AR00154,Protein Riegel,Snickers Protein Riegel,12.0,35.89
AR00040,Protein Riegel,Barebells Caramel Choco 55g,9.0,27.76
AR00212,Protein Riegel,Mars Protein 50g,4.0,11.96
AR00136,Impulseis,La Magnum Almond,92.0,231.97
AR00084,Impulseis,La Nogger Choc,54.0,100.98
AR00138,Impulseis,La Cornetto Haselnuss,40.0,74.8
AR00137,Impulseis,La Magnum Classic,40.0,100.86
AR00024,Impulseis,Snickers Ice Cream Eisrie,39.0,91.24
AR00065,Impulseis,BLACK FOREST ICE CREAM Schokolade 100ml,35.0,81.8
AR00068,Impulseis,BF ICE CREAM Himbeere Fichte 100ml Bio V,22.0,51.42
AR00187,Impulseis,Twix Ice Cream Eisriegel,21.0,49.12
AR00064,Impulseis,BLACK FOREST ICE CREAM Vanille 100ml Bio,17.0,39.78
AR00060,Impulseis,Hofeis Knusperkeks 130ml,17.0,39.74
AR00058,Impulseis,Hofeis Mango 130ml,17.0,39.74
AR00057,Impulseis,HofEis Erdbeere Sorbet 130ml,17.0,39.72
AR00056,Impulseis,HofEis Joghurt Heidelbeere 130ml,16.0,37.4
AR00025,Impulseis,Mars Ice Cream Eisriegel,14.0,32.72
AR00059,Impulseis,HofEis Omas Apfelkuchen 130ml,10.0,23.38
AR00055,Impulseis,HofEis Stracciatella 130ml,10.0,23.39
AR00069,Impulseis,BF ICE CREAM Weiße Schokolade & Waldbeer,4.0,9.36
AR00066,Impulseis,BLACK FOREST ICE CREAM Schwarzw. Kirsch,4.0,9.35
AR00067,Impulseis,BF ICE CREAM Haselnuss 100ml Bio Vegan,3.0,7.01
AR00001,Süsse Riegel,Kinder Bueno 43g Ferrero,43.0,40.04
AR00210,Süsse Riegel,Snickers Riegel  2 Pack,33.0,36.97
AR00213,Süsse Riegel,Twix Xtra 75g,32.0,35.87
AR00209,Süsse Riegel,Kinderriegel,31.0,14.54
