articleId,articleName,quantitySold,grossSalesBeforeDiscount,grossDiscount,grossSales,netRevenueBeforeDiscount,netDiscount,netRevenue,vatAmount,dueAmount,unitPriceGross,vatRatePct
AR90004,"Leergut 0,25 EUR",920.0,230.0,0.0,230.0,193.01,0.0,193.01,36.99,230.0,0.25,19.2
AR90003,"Leergut 0,15 EUR",384.0,57.6,0.0,57.6,49.31,0.0,49.31,8.29,57.6,0.15,16.8
AR90013,"Red Bull 0,25",227.0,385.9,142.01,243.89,324.61,119.26,205.35,38.54,243.89,1.7,18.8
AR90002,"Leergut 0,08 EUR",207.0,16.56,0.0,16.56,14.05,0.0,14.05,2.51,16.56,0.08,17.9
AR90039,"Coca Cola Zero 0,4L Glas Mehrweg",168.0,252.0,0.0,252.0,211.68,0.0,211.68,40.32,252.0,1.5,19.0
AR90018,DPG Vitamin Well Reload,116.0,226.2,0.0,226.2,190.16,0.0,190.16,36.04,226.2,1.95,19.0
AR00395,Koro Protein Bar Schoko Brownie,108.0,270.0,0.0,270.0,252.5,0.0,252.5,17.5,270.0,2.5,6.9
AR00394,Koro Protein Bar Pistachio,106.0,307.4,0.0,307.4,287.24,0.0,287.24,20.16,307.4,2.9,7.0
AR00136,La Magnum Almond,92.0,248.4,0.0,248.4,231.97,0.0,231.97,16.43,248.4,2.7,7.1
AR90034,Welde Slow,88.0,149.6,0.0,149.6,125.76,0.0,125.76,23.84,149.6,1.7,19.0
AR90015,Red Bull Zero,88.0,149.6,40.35,109.25,125.84,33.94,91.9,17.35,109.25,1.7,18.9
AR00188,Laugenbrezel mit Butter,84.0,151.2,0.0,151.2,141.16,0.0,141.16,10.04,151.2,1.8,7.1
AR00080,Beef Jerky Original,81.0,202.5,33.0,169.5,189.54,30.88,158.66,10.84,169.5,2.5,6.8
AR90014,"Red Bull Sugar Free 0,25",78.0,132.6,23.2,109.4,111.54,19.5,92.04,17.36,109.4,1.7,18.9
AR90012,Red Bull Green Edition,78.0,132.6,36.4,96.2,111.54,30.67,80.87,15.33,96.2,1.7,19.0
AR00245,HOMEMADE Breakfastcup 285g,77.0,238.7,0.0,238.7,223.26,0.0,223.26,15.44,238.7,3.1,6.9
AR00010,Protein Bar Chocolate,76.0,76.0,0.0,76.0,70.83,0.0,70.83,5.17,76.0,1.0,7.3
AR00009,Protein Bar Caramell Toffee,73.0,73.0,0.0,73.0,68.08,0.0,68.08,4.92,73.0,1.0,7.2
AR90036,Welde Alkoholfrei,69.0,117.3,0.0,117.3,98.65,0.0,98.65,18.65,117.3,1.7,18.9
AR00241,HOMEMADE BUN HAM,68.0,170.0,0.0,170.0,159.05,0.0,159.05,10.95,170.0,2.5,6.9
AR90019,DPG Vitamin Well Hydrate,63.0,122.85,0.0,122.85,103.32,0.0,103.32,19.53,122.85,1.95,18.9
AR00289,Shot Himbeere Ingwer 60ml,62.0,136.4,0.0,136.4,114.64,0.0,114.64,21.76,136.4,2.2,19.0
AR00240,HOMEMADE BUN Cheese,62.0,117.8,0.0,117.8,110.36,0.0,110.36,7.44,117.8,1.9,6.7
AR00084,La Nogger Choc,54.0,108.0,0.0,108.0,100.98,0.0,100.98,7.02,108.0,2.0,7.0
AR00011,Protein Bar Vanilla Stracci,54.0,54.0,0.0,54.0,50.33,0.0,50.33,3.67,54.0,1.0,7.3
AR00244,HOMEMADE BUN Veggie Laugenecke Tom Moz,51.0,127.5,0.0,127.5,119.26,0.0,119.26,8.24,127.5,2.5,6.9
AR00243,HOMEMADE BUN VEGAN,49.0,122.5,0.0,122.5,114.6,0.0,114.6,7.9,122.5,2.5,6.9
AR00039,Airwaves Menth & Eucalypt,48.0,48.0,0.0,48.0,44.75,0.0,44.75,3.25,48.0,1.0,7.3
AR90009,"Powerade Mountain Blast 0,5l PEW",43.0,68.8,0.0,68.8,57.65,0.0,57.65,11.15,68.8,1.6,19.3
AR00001,Kinder Bueno 43g Ferrero,43.0,43.0,0.0,43.0,40.04,0.0,40.04,2.96,43.0,1.0,7.4
AR90011,Red Bull White Edition,41.0,69.7,20.56,49.14,58.63,17.33,41.3,7.84,49.14,1.7,19.0
AR00081,Beef Jerky Sweet & Hot,41.0,102.5,20.25,82.25,95.94,19.02,76.92,5.33,82.25,2.5,6.9
AR00138,La Cornetto Haselnuss,40.0,80.0,0.0,80.0,74.8,0.0,74.8,5.2,80.0,2.0,7.0
AR00137,La Magnum Classic,40.0,108.0,0.0,108.0,100.86,0.0,100.86,7.14,108.0,2.7,7.1
AR90055,Red Bull Summer Edition,39.0,66.3,18.41,47.89,55.77,15.49,40.28,7.61,47.89,1.7,18.9
AR00024,Snickers Ice Cream Eisrie,39.0,97.5,0.0,97.5,91.24,0.0,91.24,6.26,97.5,2.5,6.9
AR90037,"Mezzo Mix 0,4L Glas Mehrweg",37.0,55.5,0.0,55.5,46.62,0.0,46.62,8.88,55.5,1.5,19.0
AR00193,XL Laugenbrezel 130g FG,35.0,49.0,0.0,49.0,45.85,0.0,45.85,3.15,49.0,1.4,6.9
AR00065,BLACK FOREST ICE CREAM Schokolade 100ml,35.0,87.5,0.0,87.5,81.8,0.0,81.8,5.7,87.5,2.5,7.0
AR00031,Filly Nut Donut,35.0,52.5,0.0,52.5,49.02,0.0,49.02,3.48,52.5,1.5,7.1
AR90020,DPG Vitamin Well Prepare,33.0,64.35,0.0,64.35,54.12,0.0,54.12,10.23,64.35,1.95,18.9
AR00242,HOMEMADE BUN Salami,33.0,82.5,0.0,82.5,77.17,0.0,77.17,5.33,82.5,2.5,6.9
AR00210,Snickers Riegel  2 Pack,33.0,39.6,0.0,39.6,36.97,0.0,36.97,2.63,39.6,1.2,7.1
AR00276,Smothie Froosh Pineapple 250ml,32.0,76.8,0.0,76.8,64.61,0.0,64.61,12.19,76.8,2.4,18.9
AR00220,Haribo Goldbären 100g,32.0,32.0,0.0,32.0,29.8,0.0,29.8,2.2,32.0,1.0,7.4
AR00213,Twix Xtra 75g,32.0,38.4,0.0,38.4,35.87,0.0,35.87,2.53,38.4,1.2,7.1
AR90038,"Coca Cola 0,4L Glas Mehrweg",31.0,46.5,0.0,46.5,39.06,0.0,39.06,7.44,46.5,1.5,19.0
AR00209,Kinderriegel,31.0,15.5,0.0,15.5,14.54,0.0,14.54,0.96,15.5,0.5,6.6
AR00013,Berliner Brezel 70g FB,31.0,55.8,0.0,55.8,52.08,0.0,52.08,3.72,55.8,1.8,7.1
AR00005,Manner Neapolitaner Schnitten 75g,31.0,31.0,0.0,31.0,28.89,0.0,28.89,2.11,31.0,1.0,7.3
AR90054,Red Bull Sea Blue Edition,30.0,51.0,19.19,31.81,42.9,16.21,26.69,5.12,31.81,1.7,19.2
AR90027,Teinacher Mango Maracuja,30.0,48.0,0.0,48.0,40.27,0.0,40.27,7.73,48.0,1.6,19.2
AR00319,GIANT Flapjack Raspberry,30.0,36.0,0.0,36.0,33.61,0.0,33.61,2.39,36.0,1.2,7.1
AR00054,M&M Peanut,30.0,30.0,0.0,30.0,27.92,0.0,27.92,2.08,30.0,1.0,7.4
AR00294,Shot Ginger Apple 60ml,29.0,63.8,0.0,63.8,53.64,0.0,53.64,10.16,63.8,2.2,18.9
AR90031,Teinacher classic,28.0,33.6,0.0,33.6,28.28,0.0,28.28,5.32,33.6,1.2,18.8
AR00396,Koro Protein Bar Peanut Chocolate,28.0,61.6,0.0,61.6,57.67,0.0,57.67,3.93,61.6,2.2,6.8
AR00322,GIANT Yoghurt Flapjack Banana,27.0,32.4,0.0,32.4,30.24,0.0,30.24,2.16,32.4,1.2,7.1
AR00208,Kinder Country,27.0,13.5,0.0,13.5,12.65,0.0,12.65,0.85,13.5,0.5,6.7
AR00189,Gefüllter Triple Chocolate Muffin,27.0,59.4,0.0,59.4,55.6,0.0,55.6,3.8,59.4,2.2,6.8
AR00026,Chili & Lime Chili & Lima24 Beutel á 4,25.0,30.0,0.0,30.0,28.0,0.0,28.0,2.0,30.0,1.2,7.1
