articleId,posGroupCashier,articleName,cancellationCount,cancelledQuantity,cancelledAmount,cashier
SM0014,SmartStoreWalldorf SmartStoreWalldorf / payfree,Sunny Bites Banana Chips,7.0,20.0,635.94,payfree
AR90018,SmartStoreWalldorf SmartStoreWalldorf / payfree,DPG Vitamin Well Reload,95.0,95.0,185.25,payfree
AR90013,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Red Bull 0,25",135.0,135.0,142.58,payfree
AR00419,SmartStoreWalldorf SmartStoreWalldorf / payfree,LARQ Twist Bottle Seaside Mint 740ml,3.0,3.0,132.0,payfree
AR90004,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Leergut 0,25 EUR",508.0,508.0,127.0,payfree
AR00094,SmartStoreWalldorf SmartStoreWalldorf / payfree,Disposable cutlery set,124.0,357.0,107.1,payfree
AR00241,SmartStoreWalldorf SmartStoreWalldorf / payfree,HOMEMADE BUN HAM,28.0,29.0,72.5,payfree
AR90019,SmartStoreWalldorf SmartStoreWalldorf / payfree,DPG Vitamin Well Hydrate,35.0,35.0,68.25,payfree
AR90034,SmartStoreWalldorf SmartStoreWalldorf / payfree,Welde Slow,40.0,40.0,68.0,payfree
AR00088,SmartStoreWalldorf SmartStoreWalldorf / payfree,Wick Blau ohne Zucker,20.0,29.0,63.8,payfree
SM0017,SmartStoreWalldorf SmartStoreWalldorf / payfree,TOPVALU Joynuts Strawberry Mix,1.0,2.0,59.98,payfree
AR00080,SmartStoreWalldorf SmartStoreWalldorf / payfree,Beef Jerky Original,19.0,34.0,59.5,payfree
AR00081,SmartStoreWalldorf SmartStoreWalldorf / payfree,Beef Jerky Sweet & Hot,19.0,28.0,53.5,payfree
AR00240,SmartStoreWalldorf SmartStoreWalldorf / payfree,HOMEMADE BUN Cheese,26.0,28.0,53.2,payfree
AR00230,SmartStoreWalldorf SmartStoreWalldorf / payfree,Thermobecher 480ml Bambus & Edelstahl,3.0,3.0,51.0,payfree
AR90020,SmartStoreWalldorf SmartStoreWalldorf / payfree,DPG Vitamin Well Prepare,26.0,26.0,50.7,payfree
AR00039,SmartStoreWalldorf SmartStoreWalldorf / payfree,Airwaves Menth & Eucalypt,14.0,48.0,48.0,payfree
AR00278,SmartStoreWalldorf SmartStoreWalldorf / payfree,Gaudenz Cuvée Rot Weingut Knipser,2.0,4.0,47.6,payfree
AR00333,SmartStoreWalldorf SmartStoreWalldorf / payfree,BIO Hafer Drink Moccaccino 12 x 235ml Oa,7.0,19.0,42.75,payfree
AR00395,SmartStoreWalldorf SmartStoreWalldorf / payfree,Koro Protein Bar Schoko Brownie,17.0,17.0,42.5,payfree
AR90012,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Bull Green Edition,35.0,35.0,42.37,payfree
AR00243,SmartStoreWalldorf SmartStoreWalldorf / payfree,HOMEMADE BUN VEGAN,16.0,16.0,40.0,payfree
AR90014,SmartStoreWalldorf SmartStoreWalldorf / payfree,"Red Bull Sugar Free 0,25",30.0,30.0,38.57,payfree
AR90015,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Bull Zero,32.0,32.0,38.12,payfree
AR00220,SmartStoreWalldorf SmartStoreWalldorf / payfree,Haribo Goldbären 100g,11.0,38.0,38.0,payfree
AR00136,SmartStoreWalldorf SmartStoreWalldorf / payfree,La Magnum Almond,14.0,14.0,37.8,payfree
AR00008,SmartStoreWalldorf SmartStoreWalldorf / payfree,Schinken Käse Croissant Snack,21.0,21.0,37.8,payfree
AR90054,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Bull Sea Blue Edition,38.0,38.0,36.51,payfree
AR00157,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Wrap Chicken Chi,9.0,9.0,34.2,payfree
SM0017,SmartStoreWalldorf SmartStoreWalldorf / payfree,Milk Chocolate Style Raisins,4.0,17.0,33.83,payfree
AR90055,SmartStoreWalldorf SmartStoreWalldorf / payfree,Red Bull Summer Edition,29.0,29.0,33.07,payfree
AR00289,SmartStoreWalldorf SmartStoreWalldorf / payfree,Shot Himbeere Ingwer 60ml,12.0,15.0,33.0,payfree
AR00454,SmartStoreWalldorf SmartStoreWalldorf / payfree,Airwaves Menth & Eucalypt Box,10.0,11.0,31.9,payfree
AR00294,SmartStoreWalldorf SmartStoreWalldorf / payfree,Shot Ginger Apple 60ml,13.0,14.0,30.8,payfree
AR00438,SmartStoreWalldorf SmartStoreWalldorf / payfree,Takis Blue Heat,7.0,13.0,30.55,payfree
AR00159,SmartStoreWalldorf SmartStoreWalldorf / payfree,GO FRESH Sandw Pute Ei,8.0,8.0,30.4,payfree
AR00137,SmartStoreWalldorf SmartStoreWalldorf / payfree,La Magnum Classic,7.0,11.0,29.7,payfree
