articleName,quantity,netRevenue,vatAmount,dueAmount,hourStart,date,hour,dayOfWeek
Dr Oetker Ofenfrische Peperoni Salami,1.0,3.69,0.26,3.95,2026-01-01 20:00:00,2026-01-01,20,3
"Leergut 0,25 EUR",2.0,0.42,0.08,0.5,2026-01-01 20:00:00,2026-01-01,20,3
"Red Bull 0,25",2.0,2.86,0.54,3.4,2026-01-01 20:00:00,2026-01-01,20,3
Protein Bar Chocolate,3.0,2.8,0.2,3.0,2026-01-02 19:00:00,2026-01-02,19,4
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-03 00:00:00,2026-01-03,0,5
"Leergut 0,15 EUR",1.0,0.13,0.02,0.15,2026-01-03 15:00:00,2026-01-03,15,5
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-03 15:00:00,2026-01-03,15,5
"Red Bull 0,25",1.0,1.43,0.27,1.7,2026-01-03 15:00:00,2026-01-03,15,5
FUZE T PFIRSICH,1.0,1.43,0.27,1.7,2026-01-03 15:00:00,2026-01-03,15,5
Koro Protein Bar Pistachio,1.0,2.71,0.19,2.9,2026-01-04 13:00:00,2026-01-04,13,6
Koro Protein Bar Schoko Brownie,1.0,2.34,0.16,2.5,2026-01-04 13:00:00,2026-01-04,13,6
Haribo Goldbären 100g,1.0,0.93,0.07,1.0,2026-01-04 14:00:00,2026-01-04,14,6
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-04 19:00:00,2026-01-04,19,6
DPG Vitamin Well Hydrate,1.0,1.64,0.31,1.95,2026-01-04 19:00:00,2026-01-04,19,6
"Leergut 0,15 EUR",3.0,0.39,0.06,0.45,2026-01-04 22:00:00,2026-01-04,22,6
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-04 22:00:00,2026-01-04,22,6
"Red Bull 0,25",1.0,1.43,0.27,1.7,2026-01-04 22:00:00,2026-01-04,22,6
Teinacher Mango Maracuja,1.0,1.34,0.26,1.6,2026-01-04 22:00:00,2026-01-04,22,6
Teinacher Apfelschorle,1.0,1.34,0.26,1.6,2026-01-04 22:00:00,2026-01-04,22,6
FUZE T PFIRSICH,1.0,1.43,0.27,1.7,2026-01-04 22:00:00,2026-01-04,22,6
Kinder Country,1.0,0.47,0.03,0.5,2026-01-05 14:00:00,2026-01-05,14,0
Protein Bar Caramell Toffee,1.0,0.93,0.07,1.0,2026-01-05 16:00:00,2026-01-05,16,0
Protein Bar Chocolate,1.0,0.93,0.07,1.0,2026-01-05 16:00:00,2026-01-05,16,0
Protein Bar Vanilla Stracci,1.0,0.94,0.06,1.0,2026-01-05 16:00:00,2026-01-05,16,0
Shot Himbeere Ingwer 60ml,1.0,1.85,0.35,2.2,2026-01-05 22:00:00,2026-01-05,22,0
Shot Kurkuma Orange 60ml,1.0,1.85,0.35,2.2,2026-01-05 22:00:00,2026-01-05,22,0
Shot Beetroot 60ml,1.0,1.85,0.35,2.2,2026-01-05 22:00:00,2026-01-05,22,0
Shot Cucumber Ginger 60ml,1.0,1.85,0.35,2.2,2026-01-05 22:00:00,2026-01-05,22,0
Koro Protein Bar Pistachio,2.0,5.42,0.38,5.8,2026-01-05 22:00:00,2026-01-05,22,0
Bio H Milch 1l Nature,1.0,2.1,0.15,2.25,2026-01-06 13:00:00,2026-01-06,13,1
"Leergut 0,25 EUR",1.0,0.21,0.04,0.25,2026-01-06 14:00:00,2026-01-06,14,1
"Red Bull 0,25",1.0,1.43,0.27,1.7,2026-01-06 14:00:00,2026-01-06,14,1
Hofeis Mango 130ml,1.0,2.34,0.16,2.5,2026-01-06 17:00:00,2026-01-06,17,1
Bellezini Focaccine Rosemary,1.0,2.34,0.16,2.5,2026-01-06 17:00:00,2026-01-06,17,1
Bellezini Focaccine Basil 12 x 150 g,1.0,2.34,0.16,2.5,2026-01-06 17:00:00,2026-01-06,17,1
GIANT Flapjack Raspberry,1.0,1.12,0.08,1.2,2026-01-06 17:00:00,2026-01-06,17,1
