ID,store_ID,posSystem_ID,article_ID,cashier,businessDate,cancellationCount,cancelledQuantity,cancelledAmount,currency_code
CN-WDF01-000000,WDF01,PF02,SM0014,payfree,2026-02-26,4,10.0,317.97,EUR
CN-WDF01-000001,WDF01,PF02,SM0014,payfree,2026-05-31,3,10.0,317.97,EUR
CN-WDF01-000002,WDF01,PF02,AR90018,payfree,2026-01-01,4,3.065,5.98,EUR
CN-WDF01-000003,WDF01,PF02,AR90018,payfree,2026-01-04,4,3.065,5.98,EUR
CN-WDF01-000004,WDF01,PF02,AR90018,payfree,2026-01-12,3,3.065,5.98,EUR
CN-WDF01-000005,WDF01,PF02,AR90018,payfree,2026-01-15,3,3.065,5.98,EUR
CN-WDF01-000006,WDF01,PF02,AR90018,payfree,2026-01-25,3,3.065,5.98,EUR
CN-WDF01-000007,WDF01,PF02,AR90018,payfree,2026-01-28,3,3.065,5.98,EUR
CN-WDF01-000008,WDF01,PF02,AR90018,payfree,2026-02-09,3,3.065,5.98,EUR
CN-WDF01-000009,WDF01,PF02,AR90018,payfree,2026-02-12,3,3.065,5.98,EUR
CN-WDF01-000010,WDF01,PF02,AR90018,payfree,2026-02-15,3,3.065,5.98,EUR
CN-WDF01-000011,WDF01,PF02,AR90018,payfree,2026-02-20,3,3.065,5.98,EUR
CN-WDF01-000012,WDF01,PF02,AR90018,payfree,2026-03-03,3,3.065,5.98,EUR
CN-WDF01-000013,WDF01,PF02,AR90018,payfree,2026-03-13,3,3.065,5.98,EUR
CN-WDF01-000014,WDF01,PF02,AR90018,payfree,2026-03-23,3,3.065,5.98,EUR
CN-WDF01-000015,WDF01,PF02,AR90018,payfree,2026-04-02,3,3.065,5.98,EUR
CN-WDF01-000016,WDF01,PF02,AR90018,payfree,2026-04-08,3,3.065,5.98,EUR
CN-WDF01-000017,WDF01,PF02,AR90018,payfree,2026-04-09,3,3.065,5.98,EUR
CN-WDF01-000018,WDF01,PF02,AR90018,payfree,2026-04-10,3,3.065,5.98,EUR
CN-WDF01-000019,WDF01,PF02,AR90018,payfree,2026-04-13,3,3.065,5.98,EUR
CN-WDF01-000020,WDF01,PF02,AR90018,payfree,2026-04-19,3,3.065,5.98,EUR
CN-WDF01-000021,WDF01,PF02,AR90018,payfree,2026-04-21,3,3.065,5.98,EUR
CN-WDF01-000022,WDF01,PF02,AR90018,payfree,2026-04-27,3,3.065,5.98,EUR
CN-WDF01-000023,WDF01,PF02,AR90018,payfree,2026-04-28,3,3.065,5.98,EUR
CN-WDF01-000024,WDF01,PF02,AR90018,payfree,2026-05-08,3,3.065,5.98,EUR
CN-WDF01-000025,WDF01,PF02,AR90018,payfree,2026-05-11,3,3.065,5.98,EUR
CN-WDF01-000026,WDF01,PF02,AR90018,payfree,2026-05-19,3,3.065,5.98,EUR
CN-WDF01-000027,WDF01,PF02,AR90018,payfree,2026-06-04,3,3.065,5.98,EUR
CN-WDF01-000028,WDF01,PF02,AR90018,payfree,2026-06-10,3,3.065,5.98,EUR
CN-WDF01-000029,WDF01,PF02,AR90018,payfree,2026-06-12,3,3.065,5.98,EUR
CN-WDF01-000030,WDF01,PF02,AR90018,payfree,2026-06-17,3,3.065,5.98,EUR
CN-WDF01-000031,WDF01,PF02,AR90018,payfree,2026-06-18,3,3.065,5.98,EUR
CN-WDF01-000032,WDF01,PF02,AR90018,payfree,2026-06-28,3,3.065,5.98,EUR
CN-WDF01-000033,WDF01,PF02,AR90013,payfree,2026-01-02,3,3.0,3.17,EUR
CN-WDF01-000034,WDF01,PF02,AR90013,payfree,2026-01-06,3,3.0,3.17,EUR
CN-WDF01-000035,WDF01,PF02,AR90013,payfree,2026-01-15,3,3.0,3.17,EUR
CN-WDF01-000036,WDF01,PF02,AR90013,payfree,2026-01-17,3,3.0,3.17,EUR
CN-WDF01-000037,WDF01,PF02,AR90013,payfree,2026-01-25,3,3.0,3.17,EUR
CN-WDF01-000038,WDF01,PF02,AR90013,payfree,2026-01-29,3,3.0,3.17,EUR
CN-WDF01-000039,WDF01,PF02,AR90013,payfree,2026-01-30,3,3.0,3.17,EUR
CN-WDF01-000040,WDF01,PF02,AR90013,payfree,2026-02-04,3,3.0,3.17,EUR
CN-WDF01-000041,WDF01,PF02,AR90013,payfree,2026-02-06,3,3.0,3.17,EUR
CN-WDF01-000042,WDF01,PF02,AR90013,payfree,2026-02-14,3,3.0,3.17,EUR
CN-WDF01-000043,WDF01,PF02,AR90013,payfree,2026-02-16,3,3.0,3.17,EUR
CN-WDF01-000044,WDF01,PF02,AR90013,payfree,2026-02-19,3,3.0,3.17,EUR
CN-WDF01-000045,WDF01,PF02,AR90013,payfree,2026-03-01,3,3.0,3.17,EUR
CN-WDF01-000046,WDF01,PF02,AR90013,payfree,2026-03-11,3,3.0,3.17,EUR
CN-WDF01-000047,WDF01,PF02,AR90013,payfree,2026-03-13,3,3.0,3.17,EUR
CN-WDF01-000048,WDF01,PF02,AR90013,payfree,2026-03-14,3,3.0,3.17,EUR
CN-WDF01-000049,WDF01,PF02,AR90013,payfree,2026-03-21,3,3.0,3.17,EUR
CN-WDF01-000050,WDF01,PF02,AR90013,payfree,2026-03-26,3,3.0,3.17,EUR
CN-WDF01-000051,WDF01,PF02,AR90013,payfree,2026-03-30,3,3.0,3.17,EUR
CN-WDF01-000052,WDF01,PF02,AR90013,payfree,2026-04-01,3,3.0,3.17,EUR
CN-WDF01-000053,WDF01,PF02,AR90013,payfree,2026-04-07,3,3.0,3.17,EUR
CN-WDF01-000054,WDF01,PF02,AR90013,payfree,2026-04-08,3,3.0,3.17,EUR
CN-WDF01-000055,WDF01,PF02,AR90013,payfree,2026-04-11,3,3.0,3.17,EUR
CN-WDF01-000056,WDF01,PF02,AR90013,payfree,2026-04-12,3,3.0,3.17,EUR
CN-WDF01-000057,WDF01,PF02,AR90013,payfree,2026-04-14,3,3.0,3.17,EUR
CN-WDF01-000058,WDF01,PF02,AR90013,payfree,2026-04-17,3,3.0,3.17,EUR
CN-WDF01-000059,WDF01,PF02,AR90013,payfree,2026-04-19,3,3.0,3.17,EUR
CN-WDF01-000060,WDF01,PF02,AR90013,payfree,2026-04-23,3,3.0,3.17,EUR
CN-WDF01-000061,WDF01,PF02,AR90013,payfree,2026-04-24,3,3.0,3.17,EUR
CN-WDF01-000062,WDF01,PF02,AR90013,payfree,2026-05-03,3,3.0,3.17,EUR
CN-WDF01-000063,WDF01,PF02,AR90013,payfree,2026-05-04,3,3.0,3.17,EUR
CN-WDF01-000064,WDF01,PF02,AR90013,payfree,2026-05-05,3,3.0,3.17,EUR
CN-WDF01-000065,WDF01,PF02,AR90013,payfree,2026-05-12,3,3.0,3.17,EUR
CN-WDF01-000066,WDF01,PF02,AR90013,payfree,2026-05-17,3,3.0,3.17,EUR
CN-WDF01-000067,WDF01,PF02,AR90013,payfree,2026-05-28,3,3.0,3.17,EUR
CN-WDF01-000068,WDF01,PF02,AR90013,payfree,2026-05-29,3,3.0,3.17,EUR
CN-WDF01-000069,WDF01,PF02,AR90013,payfree,2026-05-31,3,3.0,3.17,EUR
CN-WDF01-000070,WDF01,PF02,AR90013,payfree,2026-06-02,3,3.0,3.17,EUR
CN-WDF01-000071,WDF01,PF02,AR90013,payfree,2026-06-13,3,3.0,3.17,EUR
CN-WDF01-000072,WDF01,PF02,AR90013,payfree,2026-06-15,3,3.0,3.17,EUR
CN-WDF01-000073,WDF01,PF02,AR90013,payfree,2026-06-17,3,3.0,3.17,EUR
CN-WDF01-000074,WDF01,PF02,AR90013,payfree,2026-06-22,3,3.0,3.17,EUR
CN-WDF01-000075,WDF01,PF02,AR90013,payfree,2026-06-24,3,3.0,3.17,EUR
CN-WDF01-000076,WDF01,PF02,AR90013,payfree,2026-06-27,3,3.0,3.17,EUR
CN-WDF01-000077,WDF01,PF02,AR90013,payfree,2026-07-01,3,3.0,3.17,EUR
CN-WDF01-000078,WDF01,PF02,AR00419,payfree,2026-01-05,3,3.0,132.0,EUR
CN-WDF01-000079,WDF01,PF02,AR90004,payfree,2026-01-01,12,11.289,2.82,EUR
CN-WDF01-000080,WDF01,PF02,AR90004,payfree,2026-01-03,12,11.289,2.82,EUR
