ID,store_ID,article_ID,forecastFor,businessDate,hourOfDay,predictedQty,lowerBound,upperBound,actualQty,mape,wape,model,generatedAt
FC-WDF01-000001,WDF01,AR90004,2026-07-03T22:00:00Z,2026-07-03,22,0.069,0,2.124,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000002,WDF01,AR90004,2026-07-04T01:00:00Z,2026-07-04,1,0.02,0,2.075,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000003,WDF01,AR90004,2026-07-04T08:00:00Z,2026-07-04,8,0.059,0,2.114,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000004,WDF01,AR90004,2026-07-04T09:00:00Z,2026-07-04,9,0.12,0,2.175,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000005,WDF01,AR90004,2026-07-04T10:00:00Z,2026-07-04,10,0.069,0,2.124,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000006,WDF01,AR90004,2026-07-04T11:00:00Z,2026-07-04,11,0.105,0,2.161,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000007,WDF01,AR90004,2026-07-04T12:00:00Z,2026-07-04,12,0.265,0,2.32,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000008,WDF01,AR90004,2026-07-04T13:00:00Z,2026-07-04,13,0.378,0,2.433,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000009,WDF01,AR90004,2026-07-04T14:00:00Z,2026-07-04,14,0.25,0,2.305,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000010,WDF01,AR90004,2026-07-04T15:00:00Z,2026-07-04,15,0.23,0,2.286,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000011,WDF01,AR90004,2026-07-04T16:00:00Z,2026-07-04,16,0.184,0,2.239,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000012,WDF01,AR90004,2026-07-04T17:00:00Z,2026-07-04,17,0.137,0,2.192,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000013,WDF01,AR90004,2026-07-04T18:00:00Z,2026-07-04,18,0.15,0,2.205,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000014,WDF01,AR90004,2026-07-04T19:00:00Z,2026-07-04,19,0.083,0,2.139,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000015,WDF01,AR90004,2026-07-04T20:00:00Z,2026-07-04,20,0.064,0,2.119,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000016,WDF01,AR90004,2026-07-04T21:00:00Z,2026-07-04,21,0.088,0,2.143,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000017,WDF01,AR90004,2026-07-04T22:00:00Z,2026-07-04,22,0.029,0,2.085,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000018,WDF01,AR90004,2026-07-05T01:00:00Z,2026-07-05,1,0.037,0,2.092,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000019,WDF01,AR90004,2026-07-05T07:00:00Z,2026-07-05,7,0.023,0,2.078,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000020,WDF01,AR90004,2026-07-05T08:00:00Z,2026-07-05,8,0.111,0,2.166,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000021,WDF01,AR90004,2026-07-05T09:00:00Z,2026-07-05,9,0.226,0,2.281,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000022,WDF01,AR90004,2026-07-05T10:00:00Z,2026-07-05,10,0.129,0,2.184,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000023,WDF01,AR90004,2026-07-05T11:00:00Z,2026-07-05,11,0.198,0,2.253,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000024,WDF01,AR90004,2026-07-05T12:00:00Z,2026-07-05,12,0.498,0,2.553,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000025,WDF01,AR90004,2026-07-05T13:00:00Z,2026-07-05,13,0.71,0,2.765,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000026,WDF01,AR90004,2026-07-05T14:00:00Z,2026-07-05,14,0.47,0,2.526,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000027,WDF01,AR90004,2026-07-05T15:00:00Z,2026-07-05,15,0.433,0,2.489,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000028,WDF01,AR90004,2026-07-05T16:00:00Z,2026-07-05,16,0.346,0,2.401,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000029,WDF01,AR90004,2026-07-05T17:00:00Z,2026-07-05,17,0.258,0,2.313,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000030,WDF01,AR90004,2026-07-05T18:00:00Z,2026-07-05,18,0.281,0,2.336,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000031,WDF01,AR90004,2026-07-05T19:00:00Z,2026-07-05,19,0.157,0,2.212,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000032,WDF01,AR90004,2026-07-05T20:00:00Z,2026-07-05,20,0.12,0,2.175,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000033,WDF01,AR90004,2026-07-05T21:00:00Z,2026-07-05,21,0.166,0,2.221,,60.86,141.23,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000034,WDF01,AR90003,2026-07-03T22:00:00Z,2026-07-03,22,0.037,0,1.446,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000035,WDF01,AR90003,2026-07-03T23:00:00Z,2026-07-03,23,0.05,0,1.46,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000036,WDF01,AR90003,2026-07-04T09:00:00Z,2026-07-04,9,0.024,0,1.433,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000037,WDF01,AR90003,2026-07-04T10:00:00Z,2026-07-04,10,0.027,0,1.437,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000038,WDF01,AR90003,2026-07-04T11:00:00Z,2026-07-04,11,0.022,0,1.431,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000039,WDF01,AR90003,2026-07-04T12:00:00Z,2026-07-04,12,0.08,0,1.49,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000040,WDF01,AR90003,2026-07-04T13:00:00Z,2026-07-04,13,0.086,0,1.496,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000041,WDF01,AR90003,2026-07-04T14:00:00Z,2026-07-04,14,0.102,0,1.512,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000042,WDF01,AR90003,2026-07-04T15:00:00Z,2026-07-04,15,0.106,0,1.516,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000043,WDF01,AR90003,2026-07-04T16:00:00Z,2026-07-04,16,0.088,0,1.498,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000044,WDF01,AR90003,2026-07-04T17:00:00Z,2026-07-04,17,0.055,0,1.465,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000045,WDF01,AR90003,2026-07-04T18:00:00Z,2026-07-04,18,0.037,0,1.447,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000046,WDF01,AR90003,2026-07-04T19:00:00Z,2026-07-04,19,0.033,0,1.443,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000047,WDF01,AR90003,2026-07-04T20:00:00Z,2026-07-04,20,0.016,0,1.425,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000048,WDF01,AR90003,2026-07-04T21:00:00Z,2026-07-04,21,0.029,0,1.439,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000049,WDF01,AR90003,2026-07-04T22:00:00Z,2026-07-04,22,0.016,0,1.425,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000050,WDF01,AR90003,2026-07-04T23:00:00Z,2026-07-04,23,0.022,0,1.431,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000051,WDF01,AR90003,2026-07-05T09:00:00Z,2026-07-05,9,0.044,0,1.454,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000052,WDF01,AR90003,2026-07-05T10:00:00Z,2026-07-05,10,0.052,0,1.461,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
FC-WDF01-000053,WDF01,AR90003,2026-07-05T11:00:00Z,2026-07-05,11,0.041,0,1.45,,84.22,184.74,SeasonalProfile+EWMA,2026-07-29T02:51:21Z
