ID,store_ID,hourStart,businessDate,hourOfDay,visitors,conversionRate,avgDwellSeconds
FF-BLN01-2026-01-01T08,BLN01,2026-01-01T08:00:00Z,2026-01-01,8,2,0.5,181
FF-BLN01-2026-01-01T09,BLN01,2026-01-01T09:00:00Z,2026-01-01,9,2,0.5,143
FF-BLN01-2026-01-01T10,BLN01,2026-01-01T10:00:00Z,2026-01-01,10,2,0.5,172
FF-BLN01-2026-01-01T11,BLN01,2026-01-01T11:00:00Z,2026-01-01,11,2,0.5,162
FF-BLN01-2026-01-01T12,BLN01,2026-01-01T12:00:00Z,2026-01-01,12,5,0.4,127
FF-BLN01-2026-01-01T13,BLN01,2026-01-01T13:00:00Z,2026-01-01,13,4,0.5,163
FF-BLN01-2026-01-01T14,BLN01,2026-01-01T14:00:00Z,2026-01-01,14,7,0.4286,156
FF-BLN01-2026-01-01T15,BLN01,2026-01-01T15:00:00Z,2026-01-01,15,2,0.5,168
FF-BLN01-2026-01-01T16,BLN01,2026-01-01T16:00:00Z,2026-01-01,16,2,0.5,165
FF-BLN01-2026-01-01T17,BLN01,2026-01-01T17:00:00Z,2026-01-01,17,4,0.5,179
FF-BLN01-2026-01-01T18,BLN01,2026-01-01T18:00:00Z,2026-01-01,18,4,0.5,190
FF-BLN01-2026-01-01T19,BLN01,2026-01-01T19:00:00Z,2026-01-01,19,1,1.0,165
FF-BLN01-2026-01-01T20,BLN01,2026-01-01T20:00:00Z,2026-01-01,20,1,1.0,134
FF-BLN01-2026-01-01T21,BLN01,2026-01-01T21:00:00Z,2026-01-01,21,2,0.5,172
FF-BLN01-2026-01-01T22,BLN01,2026-01-01T22:00:00Z,2026-01-01,22,2,0.5,191
FF-BLN01-2026-01-02T08,BLN01,2026-01-02T08:00:00Z,2026-01-02,8,3,0.3333,180
FF-BLN01-2026-01-02T12,BLN01,2026-01-02T12:00:00Z,2026-01-02,12,2,0.5,167
FF-BLN01-2026-01-02T13,BLN01,2026-01-02T13:00:00Z,2026-01-02,13,2,0.5,167
FF-BLN01-2026-01-02T14,BLN01,2026-01-02T14:00:00Z,2026-01-02,14,7,0.4286,204
FF-BLN01-2026-01-02T15,BLN01,2026-01-02T15:00:00Z,2026-01-02,15,6,0.3333,202
FF-BLN01-2026-01-02T16,BLN01,2026-01-02T16:00:00Z,2026-01-02,16,2,0.5,132
FF-BLN01-2026-01-02T17,BLN01,2026-01-02T17:00:00Z,2026-01-02,17,3,0.3333,124
FF-BLN01-2026-01-02T18,BLN01,2026-01-02T18:00:00Z,2026-01-02,18,2,0.5,171
FF-BLN01-2026-01-02T19,BLN01,2026-01-02T19:00:00Z,2026-01-02,19,3,0.3333,157
