ID,hourStart,businessDate,hourOfDay,dayOfWeek,store_ID,article_ID,quantity,netRevenue,vatAmount,grossAmount,currency_code,isActual
HS-WDF01-000000,2026-01-01T20:00:00Z,2026-01-01,20,3,WDF01,AR00171,1.0,3.69,0.26,3.95,EUR,True
HS-WDF01-000001,2026-01-01T20:00:00Z,2026-01-01,20,3,WDF01,AR90004,2.0,0.42,0.08,0.5,EUR,True
HS-WDF01-000002,2026-01-01T20:00:00Z,2026-01-01,20,3,WDF01,AR90013,2.0,2.86,0.54,3.4,EUR,True
HS-WDF01-000003,2026-01-02T19:00:00Z,2026-01-02,19,4,WDF01,AR00010,3.0,2.8,0.2,3.0,EUR,True
HS-WDF01-000004,2026-01-03T00:00:00Z,2026-01-03,0,5,WDF01,AR00289,1.0,1.85,0.35,2.2,EUR,True
HS-WDF01-000005,2026-01-03T15:00:00Z,2026-01-03,15,5,WDF01,AR90003,1.0,0.13,0.02,0.15,EUR,True
HS-WDF01-000006,2026-01-03T15:00:00Z,2026-01-03,15,5,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000007,2026-01-03T15:00:00Z,2026-01-03,15,5,WDF01,AR90013,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000008,2026-01-03T15:00:00Z,2026-01-03,15,5,WDF01,AR90040,1.0,1.43,0.27,1.7,EUR,True
HS-WDF01-000009,2026-01-04T13:00:00Z,2026-01-04,13,6,WDF01,AR00394,1.0,2.71,0.19,2.9,EUR,True
HS-WDF01-000010,2026-01-04T13:00:00Z,2026-01-04,13,6,WDF01,AR00395,1.0,2.34,0.16,2.5,EUR,True
HS-WDF01-000011,2026-01-04T14:00:00Z,2026-01-04,14,6,WDF01,AR00220,1.0,0.93,0.07,1.0,EUR,True
HS-WDF01-000012,2026-01-04T19:00:00Z,2026-01-04,19,6,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000013,2026-01-04T19:00:00Z,2026-01-04,19,6,WDF01,AR90019,1.0,1.64,0.31,1.95,EUR,True
HS-WDF01-000014,2026-01-04T22:00:00Z,2026-01-04,22,6,WDF01,AR90003,3.0,0.39,0.06,0.45,EUR,True
HS-WDF01-000015,2026-01-04T22:00:00Z,2026-01-04,22,6,WDF01,AR90004,1.0,0.21,0.04,0.25,EUR,True
HS-WDF01-000016,2026-01-04T22:00:00Z,2026-01-04,22,6,WDF01,AR90013,1.0,1.43,0.27,1.7,EUR,True
