ID,store_ID,article_ID,businessDate,bookStock,countedStock,onOrder,daysOfSupply
IV-WDF01-AR90004-2026-06-13,WDF01,AR90004,2026-06-13,20.796,18.195,9.0,3.64
IV-WDF01-AR90004-2026-06-14,WDF01,AR90004,2026-06-14,4.862,4.34,12.0,0.87
IV-WDF01-AR90004-2026-06-15,WDF01,AR90004,2026-06-15,20.409,19.409,2.0,3.88
IV-WDF01-AR90004-2026-06-16,WDF01,AR90004,2026-06-16,3.502,2.906,1.0,0.58
IV-WDF01-AR90004-2026-06-17,WDF01,AR90004,2026-06-17,15.737,14.908,17.0,2.98
IV-WDF01-AR90004-2026-06-18,WDF01,AR90004,2026-06-18,5.934,4.769,18.0,0.95
IV-WDF01-AR90004-2026-06-19,WDF01,AR90004,2026-06-19,4.553,2.39,7.0,0.48
IV-WDF01-AR90004-2026-06-20,WDF01,AR90004,2026-06-20,13.615,11.525,0.0,2.31
IV-WDF01-AR90004-2026-06-21,WDF01,AR90004,2026-06-21,7.875,6.619,13.0,1.32
IV-WDF01-AR90004-2026-06-22,WDF01,AR90004,2026-06-22,22.183,20.908,5.0,4.18
IV-WDF01-AR90004-2026-06-23,WDF01,AR90004,2026-06-23,5.162,4.603,7.0,0.92
IV-WDF01-AR90004-2026-06-24,WDF01,AR90004,2026-06-24,27.059,25.78,13.0,5.16
IV-WDF01-AR90004-2026-06-25,WDF01,AR90004,2026-06-25,7.52,6.791,1.0,1.36
IV-WDF01-AR90004-2026-06-26,WDF01,AR90004,2026-06-26,14.65,12.971,6.0,2.59
IV-WDF01-AR90004-2026-06-27,WDF01,AR90004,2026-06-27,6.405,4.306,10.0,0.86
IV-WDF01-AR90004-2026-06-28,WDF01,AR90004,2026-06-28,27.284,25.928,13.0,5.19
IV-WDF01-AR90004-2026-06-29,WDF01,AR90004,2026-06-29,26.259,25.265,4.0,5.05
IV-WDF01-AR90004-2026-06-30,WDF01,AR90004,2026-06-30,24.338,22.299,15.0,4.46
IV-WDF01-AR90004-2026-07-01,WDF01,AR90004,2026-07-01,6.93,5.485,3.0,1.1
IV-WDF01-AR90004-2026-07-02,WDF01,AR90004,2026-07-02,12.779,12.186,1.0,2.44
IV-WDF01-AR90004-2026-07-03,WDF01,AR90004,2026-07-03,11.54,10.215,18.0,2.04
IV-WDF01-AR90003-2026-06-13,WDF01,AR90003,2026-06-13,12.446,9.504,7.0,4.55
IV-WDF01-AR90003-2026-06-14,WDF01,AR90003,2026-06-14,5.689,4.47,8.0,2.14
IV-WDF01-AR90003-2026-06-15,WDF01,AR90003,2026-06-15,3.904,2.965,8.0,1.42
IV-WDF01-AR90003-2026-06-16,WDF01,AR90003,2026-06-16,10.276,9.686,5.0,4.64
IV-WDF01-AR90003-2026-06-17,WDF01,AR90003,2026-06-17,10.466,8.539,2.0,4.09
IV-WDF01-AR90003-2026-06-18,WDF01,AR90003,2026-06-18,8.159,5.425,3.0,2.6
IV-WDF01-AR90003-2026-06-19,WDF01,AR90003,2026-06-19,9.533,8.098,2.0,3.88
IV-WDF01-AR90003-2026-06-20,WDF01,AR90003,2026-06-20,10.124,8.881,2.0,4.26
IV-WDF01-AR90003-2026-06-21,WDF01,AR90003,2026-06-21,6.014,5.463,3.0,2.62
IV-WDF01-AR90003-2026-06-22,WDF01,AR90003,2026-06-22,11.099,10.16,3.0,4.87
IV-WDF01-AR90003-2026-06-23,WDF01,AR90003,2026-06-23,13.553,11.114,4.0,5.33
IV-WDF01-AR90003-2026-06-24,WDF01,AR90003,2026-06-24,9.774,7.928,6.0,3.8
IV-WDF01-AR90003-2026-06-25,WDF01,AR90003,2026-06-25,9.049,7.515,4.0,3.6
IV-WDF01-AR90003-2026-06-26,WDF01,AR90003,2026-06-26,6.525,5.115,5.0,2.45
IV-WDF01-AR90003-2026-06-27,WDF01,AR90003,2026-06-27,10.656,9.954,3.0,4.77
IV-WDF01-AR90003-2026-06-28,WDF01,AR90003,2026-06-28,9.708,6.777,7.0,3.25
IV-WDF01-AR90003-2026-06-29,WDF01,AR90003,2026-06-29,2.973,0.672,5.0,0.32
IV-WDF01-AR90003-2026-06-30,WDF01,AR90003,2026-06-30,12.508,10.581,7.0,5.07
IV-WDF01-AR90003-2026-07-01,WDF01,AR90003,2026-07-01,5.544,4.313,0.0,2.07
IV-WDF01-AR90003-2026-07-02,WDF01,AR90003,2026-07-02,5.747,2.971,3.0,1.42
IV-WDF01-AR90003-2026-07-03,WDF01,AR90003,2026-07-03,12.305,10.696,4.0,5.13
IV-WDF01-AR90013-2026-06-13,WDF01,AR90013,2026-06-13,3.38,2.899,3.0,2.35
IV-WDF01-AR90013-2026-06-14,WDF01,AR90013,2026-06-14,5.987,5.437,4.0,4.41
IV-WDF01-AR90013-2026-06-15,WDF01,AR90013,2026-06-15,2.912,2.465,0.0,2.0
IV-WDF01-AR90013-2026-06-16,WDF01,AR90013,2026-06-16,7.275,7.106,4.0,5.76
IV-WDF01-AR90013-2026-06-17,WDF01,AR90013,2026-06-17,4.767,4.07,2.0,3.3
IV-WDF01-AR90013-2026-06-18,WDF01,AR90013,2026-06-18,5.556,5.017,0.0,4.07
IV-WDF01-AR90013-2026-06-19,WDF01,AR90013,2026-06-19,6.254,5.844,0.0,4.74
IV-WDF01-AR90013-2026-06-20,WDF01,AR90013,2026-06-20,3.302,2.732,0.0,2.21
IV-WDF01-AR90013-2026-06-21,WDF01,AR90013,2026-06-21,5.189,4.794,0.0,3.89
IV-WDF01-AR90013-2026-06-22,WDF01,AR90013,2026-06-22,2.62,2.25,4.0,1.82
IV-WDF01-AR90013-2026-06-23,WDF01,AR90013,2026-06-23,4.187,3.618,2.0,2.93
IV-WDF01-AR90013-2026-06-24,WDF01,AR90013,2026-06-24,7.236,6.57,4.0,5.33
IV-WDF01-AR90013-2026-06-25,WDF01,AR90013,2026-06-25,8.353,7.454,3.0,6.04
IV-WDF01-AR90013-2026-06-26,WDF01,AR90013,2026-06-26,7.45,7.431,4.0,6.02
IV-WDF01-AR90013-2026-06-27,WDF01,AR90013,2026-06-27,5.762,5.628,4.0,4.56
IV-WDF01-AR90013-2026-06-28,WDF01,AR90013,2026-06-28,8.091,7.57,3.0,6.14
IV-WDF01-AR90013-2026-06-29,WDF01,AR90013,2026-06-29,1.974,1.855,2.0,1.5
IV-WDF01-AR90013-2026-06-30,WDF01,AR90013,2026-06-30,4.829,4.569,2.0,3.7
IV-WDF01-AR90013-2026-07-01,WDF01,AR90013,2026-07-01,2.958,2.506,1.0,2.03
IV-WDF01-AR90013-2026-07-02,WDF01,AR90013,2026-07-02,9.384,8.74,1.0,7.08
IV-WDF01-AR90013-2026-07-03,WDF01,AR90013,2026-07-03,5.333,4.87,0.0,3.95
IV-WDF01-AR90002-2026-06-13,WDF01,AR90002,2026-06-13,6.647,4.317,0.0,3.84
IV-WDF01-AR90002-2026-06-14,WDF01,AR90002,2026-06-14,8.707,7.083,0.0,6.3
IV-WDF01-AR90002-2026-06-15,WDF01,AR90002,2026-06-15,5.174,4.176,0.0,3.71
IV-WDF01-AR90002-2026-06-16,WDF01,AR90002,2026-06-16,4.106,2.97,1.0,2.64
IV-WDF01-AR90002-2026-06-17,WDF01,AR90002,2026-06-17,5.388,3.127,4.0,2.78
IV-WDF01-AR90002-2026-06-18,WDF01,AR90002,2026-06-18,2.053,0.14,1.0,0.12
IV-WDF01-AR90002-2026-06-19,WDF01,AR90002,2026-06-19,6.103,4.405,2.0,3.92
IV-WDF01-AR90002-2026-06-20,WDF01,AR90002,2026-06-20,4.343,1.942,0.0,1.73
IV-WDF01-AR90002-2026-06-21,WDF01,AR90002,2026-06-21,2.293,1.468,3.0,1.3
IV-WDF01-AR90002-2026-06-22,WDF01,AR90002,2026-06-22,3.053,1.093,1.0,0.97
IV-WDF01-AR90002-2026-06-23,WDF01,AR90002,2026-06-23,1.04,0.1,3.0,0.09
IV-WDF01-AR90002-2026-06-24,WDF01,AR90002,2026-06-24,7.029,5.612,1.0,4.99
IV-WDF01-AR90002-2026-06-25,WDF01,AR90002,2026-06-25,7.806,7.284,0.0,6.47
IV-WDF01-AR90002-2026-06-26,WDF01,AR90002,2026-06-26,7.712,6.765,4.0,6.01
IV-WDF01-AR90002-2026-06-27,WDF01,AR90002,2026-06-27,2.529,0.0,3.0,0.0
IV-WDF01-AR90002-2026-06-28,WDF01,AR90002,2026-06-28,2.869,0.234,0.0,0.21
IV-WDF01-AR90002-2026-06-29,WDF01,AR90002,2026-06-29,4.756,3.914,1.0,3.48
IV-WDF01-AR90002-2026-06-30,WDF01,AR90002,2026-06-30,7.701,6.885,3.0,6.12
IV-WDF01-AR90002-2026-07-01,WDF01,AR90002,2026-07-01,6.905,4.519,2.0,4.02
IV-WDF01-AR90002-2026-07-02,WDF01,AR90002,2026-07-02,1.579,0.0,1.0,0.0
IV-WDF01-AR90002-2026-07-03,WDF01,AR90002,2026-07-03,1.912,0.859,3.0,0.76
IV-WDF01-AR90039-2026-06-13,WDF01,AR90039,2026-06-13,5.457,5.249,0.0,5.75
IV-WDF01-AR90039-2026-06-14,WDF01,AR90039,2026-06-14,5.976,5.928,1.0,6.49
IV-WDF01-AR90039-2026-06-15,WDF01,AR90039,2026-06-15,4.456,4.133,0.0,4.53
IV-WDF01-AR90039-2026-06-16,WDF01,AR90039,2026-06-16,4.898,4.345,1.0,4.76
IV-WDF01-AR90039-2026-06-17,WDF01,AR90039,2026-06-17,5.297,5.008,0.0,5.48
IV-WDF01-AR90039-2026-06-18,WDF01,AR90039,2026-06-18,5.373,4.684,0.0,5.13
IV-WDF01-AR90039-2026-06-19,WDF01,AR90039,2026-06-19,3.272,2.771,1.0,3.03
IV-WDF01-AR90039-2026-06-20,WDF01,AR90039,2026-06-20,3.639,2.871,0.0,3.14
IV-WDF01-AR90039-2026-06-21,WDF01,AR90039,2026-06-21,7.662,6.794,0.0,7.44
IV-WDF01-AR90039-2026-06-22,WDF01,AR90039,2026-06-22,2.694,2.52,1.0,2.76
IV-WDF01-AR90039-2026-06-23,WDF01,AR90039,2026-06-23,5.931,5.387,3.0,5.9
IV-WDF01-AR90039-2026-06-24,WDF01,AR90039,2026-06-24,3.565,2.909,2.0,3.19
IV-WDF01-AR90039-2026-06-25,WDF01,AR90039,2026-06-25,6.4,5.676,3.0,6.22
IV-WDF01-AR90039-2026-06-26,WDF01,AR90039,2026-06-26,3.292,2.665,0.0,2.92
IV-WDF01-AR90039-2026-06-27,WDF01,AR90039,2026-06-27,7.865,7.593,2.0,8.32
IV-WDF01-AR90039-2026-06-28,WDF01,AR90039,2026-06-28,5.357,4.796,1.0,5.25
IV-WDF01-AR90039-2026-06-29,WDF01,AR90039,2026-06-29,2.311,1.43,2.0,1.57
IV-WDF01-AR90039-2026-06-30,WDF01,AR90039,2026-06-30,2.511,1.751,0.0,1.92
IV-WDF01-AR90039-2026-07-01,WDF01,AR90039,2026-07-01,4.12,3.834,3.0,4.2
IV-WDF01-AR90039-2026-07-02,WDF01,AR90039,2026-07-02,3.139,3.071,2.0,3.36
IV-WDF01-AR90039-2026-07-03,WDF01,AR90039,2026-07-03,5.147,5.018,2.0,5.5
IV-WDF01-AR90018-2026-06-13,WDF01,AR90018,2026-06-13,4.004,3.296,3.0,5.23
IV-WDF01-AR90018-2026-06-14,WDF01,AR90018,2026-06-14,2.923,2.299,2.0,3.65
IV-WDF01-AR90018-2026-06-15,WDF01,AR90018,2026-06-15,4.689,3.881,1.0,6.16
IV-WDF01-AR90018-2026-06-16,WDF01,AR90018,2026-06-16,2.693,2.144,1.0,3.4
IV-WDF01-AR90018-2026-06-17,WDF01,AR90018,2026-06-17,3.504,3.112,1.0,4.94
IV-WDF01-AR90018-2026-06-18,WDF01,AR90018,2026-06-18,2.313,2.204,0.0,3.5
IV-WDF01-AR90018-2026-06-19,WDF01,AR90018,2026-06-19,2.227,1.628,3.0,2.58
IV-WDF01-AR90018-2026-06-20,WDF01,AR90018,2026-06-20,2.149,2.12,0.0,3.36
IV-WDF01-AR90018-2026-06-21,WDF01,AR90018,2026-06-21,4.167,3.468,2.0,5.5
IV-WDF01-AR90018-2026-06-22,WDF01,AR90018,2026-06-22,4.05,3.498,0.0,5.55
IV-WDF01-AR90018-2026-06-23,WDF01,AR90018,2026-06-23,1.138,1.013,3.0,1.61
IV-WDF01-AR90018-2026-06-24,WDF01,AR90018,2026-06-24,5.003,4.156,3.0,6.59
IV-WDF01-AR90018-2026-06-25,WDF01,AR90018,2026-06-25,1.498,1.088,2.0,1.73
IV-WDF01-AR90018-2026-06-26,WDF01,AR90018,2026-06-26,6.015,5.965,3.0,9.46
IV-WDF01-AR90018-2026-06-27,WDF01,AR90018,2026-06-27,3.752,2.985,3.0,4.73
IV-WDF01-AR90018-2026-06-28,WDF01,AR90018,2026-06-28,1.837,1.212,3.0,1.92
IV-WDF01-AR90018-2026-06-29,WDF01,AR90018,2026-06-29,3.994,3.431,3.0,5.44
IV-WDF01-AR90018-2026-06-30,WDF01,AR90018,2026-06-30,3.206,2.558,0.0,4.06
IV-WDF01-AR90018-2026-07-01,WDF01,AR90018,2026-07-01,1.5,1.303,0.0,2.07
IV-WDF01-AR90018-2026-07-02,WDF01,AR90018,2026-07-02,5.136,5.115,3.0,8.11
IV-WDF01-AR90018-2026-07-03,WDF01,AR90018,2026-07-03,3.198,2.802,1.0,4.44
IV-WDF01-AR00395-2026-06-13,WDF01,AR00395,2026-06-13,3.886,3.071,0.0,5.23
IV-WDF01-AR00395-2026-06-14,WDF01,AR00395,2026-06-14,2.495,2.306,2.0,3.93
IV-WDF01-AR00395-2026-06-15,WDF01,AR00395,2026-06-15,5.515,4.812,3.0,8.2
IV-WDF01-AR00395-2026-06-16,WDF01,AR00395,2026-06-16,3.845,3.474,3.0,5.92
IV-WDF01-AR00395-2026-06-17,WDF01,AR00395,2026-06-17,2.066,1.271,3.0,2.17
IV-WDF01-AR00395-2026-06-18,WDF01,AR00395,2026-06-18,3.52,3.286,3.0,5.6
IV-WDF01-AR00395-2026-06-19,WDF01,AR00395,2026-06-19,2.865,2.146,0.0,3.66
IV-WDF01-AR00395-2026-06-20,WDF01,AR00395,2026-06-20,6.895,6.19,1.0,10.55
IV-WDF01-AR00395-2026-06-21,WDF01,AR00395,2026-06-21,3.904,3.268,3.0,5.57
IV-WDF01-AR00395-2026-06-22,WDF01,AR00395,2026-06-22,4.267,4.05,2.0,6.9
IV-WDF01-AR00395-2026-06-23,WDF01,AR00395,2026-06-23,5.761,4.966,0.0,8.46
IV-WDF01-AR00395-2026-06-24,WDF01,AR00395,2026-06-24,4.503,4.023,3.0,6.85
IV-WDF01-AR00395-2026-06-25,WDF01,AR00395,2026-06-25,3.07,2.697,0.0,4.59
IV-WDF01-AR00395-2026-06-26,WDF01,AR00395,2026-06-26,2.913,2.764,2.0,4.71
IV-WDF01-AR00395-2026-06-27,WDF01,AR00395,2026-06-27,3.401,2.54,3.0,4.33
IV-WDF01-AR00395-2026-06-28,WDF01,AR00395,2026-06-28,6.698,6.034,3.0,10.28
IV-WDF01-AR00395-2026-06-29,WDF01,AR00395,2026-06-29,1.03,0.141,3.0,0.24
IV-WDF01-AR00395-2026-06-30,WDF01,AR00395,2026-06-30,4.242,3.436,2.0,5.85
IV-WDF01-AR00395-2026-07-01,WDF01,AR00395,2026-07-01,4.819,4.698,0.0,8.0
IV-WDF01-AR00395-2026-07-02,WDF01,AR00395,2026-07-02,3.667,3.028,3.0,5.16
IV-WDF01-AR00395-2026-07-03,WDF01,AR00395,2026-07-03,5.437,4.869,1.0,8.3
IV-WDF01-AR00394-2026-06-13,WDF01,AR00394,2026-06-13,3.248,2.407,2.0,4.18
IV-WDF01-AR00394-2026-06-14,WDF01,AR00394,2026-06-14,3.202,2.441,3.0,4.24
IV-WDF01-AR00394-2026-06-15,WDF01,AR00394,2026-06-15,0.904,0.219,1.0,0.38
IV-WDF01-AR00394-2026-06-16,WDF01,AR00394,2026-06-16,3.147,2.789,1.0,4.84
IV-WDF01-AR00394-2026-06-17,WDF01,AR00394,2026-06-17,3.531,3.292,1.0,5.71
IV-WDF01-AR00394-2026-06-18,WDF01,AR00394,2026-06-18,3.406,2.991,3.0,5.19
IV-WDF01-AR00394-2026-06-19,WDF01,AR00394,2026-06-19,6.023,5.243,2.0,9.1
IV-WDF01-AR00394-2026-06-20,WDF01,AR00394,2026-06-20,2.429,1.835,3.0,3.19
IV-WDF01-AR00394-2026-06-21,WDF01,AR00394,2026-06-21,5.812,5.249,1.0,9.11
IV-WDF01-AR00394-2026-06-22,WDF01,AR00394,2026-06-22,2.992,2.824,0.0,4.9
IV-WDF01-AR00394-2026-06-23,WDF01,AR00394,2026-06-23,3.576,3.142,2.0,5.45
IV-WDF01-AR00394-2026-06-24,WDF01,AR00394,2026-06-24,4.772,3.925,0.0,6.81
IV-WDF01-AR00394-2026-06-25,WDF01,AR00394,2026-06-25,5.082,4.807,3.0,8.34
IV-WDF01-AR00394-2026-06-26,WDF01,AR00394,2026-06-26,6.116,5.577,3.0,9.68
IV-WDF01-AR00394-2026-06-27,WDF01,AR00394,2026-06-27,2.202,2.086,3.0,3.62
IV-WDF01-AR00394-2026-06-28,WDF01,AR00394,2026-06-28,1.985,1.627,2.0,2.82
IV-WDF01-AR00394-2026-06-29,WDF01,AR00394,2026-06-29,4.785,3.915,1.0,6.8
IV-WDF01-AR00394-2026-06-30,WDF01,AR00394,2026-06-30,4.642,4.406,0.0,7.65
IV-WDF01-AR00394-2026-07-01,WDF01,AR00394,2026-07-01,7.046,6.21,2.0,10.78
IV-WDF01-AR00394-2026-07-02,WDF01,AR00394,2026-07-02,4.526,3.67,1.0,6.37
IV-WDF01-AR00394-2026-07-03,WDF01,AR00394,2026-07-03,4.108,3.594,1.0,6.24
IV-WDF01-AR00136-2026-06-13,WDF01,AR00136,2026-06-13,2.581,2.358,0.0,4.72
IV-WDF01-AR00136-2026-06-14,WDF01,AR00136,2026-06-14,3.238,3.226,2.0,6.45
IV-WDF01-AR00136-2026-06-15,WDF01,AR00136,2026-06-15,4.816,4.049,2.0,8.1
IV-WDF01-AR00136-2026-06-16,WDF01,AR00136,2026-06-16,2.013,1.472,3.0,2.94
IV-WDF01-AR00136-2026-06-17,WDF01,AR00136,2026-06-17,6.336,5.833,3.0,11.67
IV-WDF01-AR00136-2026-06-18,WDF01,AR00136,2026-06-18,3.139,2.297,3.0,4.59
IV-WDF01-AR00136-2026-06-19,WDF01,AR00136,2026-06-19,6.149,5.653,0.0,11.31
IV-WDF01-AR00136-2026-06-20,WDF01,AR00136,2026-06-20,2.772,2.193,0.0,4.39
