ID,scenario,businessDate,metricName,metricValue,unit
MM-00001,DEMAND_FORECAST,2026-07-03,WAPE (SKU-hour),185.95,%
MM-00002,DEMAND_FORECAST,2026-07-03,WAPE (store-day),28.83,%
MM-00003,DEMAND_FORECAST,2026-07-03,MAPE,88.626,%
MM-00004,DEMAND_FORECAST,2026-07-03,Forecast rows,1996,rows
MM-00005,CHECKOUT_INTEGRITY,2026-07-03,Open alerts,676,alerts
MM-00006,CHECKOUT_INTEGRITY,2026-07-03,Value at risk,17225.77,EUR
MM-00007,REPLENISHMENT,2026-07-03,Open tasks,198,tasks
MM-00008,REPLENISHMENT,2026-07-03,Lost sales avoided,351.11,EUR
MM-00009,WASTE_MARKDOWN,2026-07-03,Recommendations,146,items
MM-00010,WASTE_MARKDOWN,2026-07-03,Margin protected,198.1,EUR
MM-00011,WASTE_MARKDOWN,2026-07-03,Waste cost avoided,125.63,EUR
MM-00012,PERSONALISATION,2026-07-03,Offers generated,842,offers
MM-00013,PERSONALISATION,2026-07-03,Expected revenue,596.39,EUR
MM-00014,COLD_CHAIN,2026-07-03,Open alerts,16,alerts
MM-00015,COLD_CHAIN,2026-07-03,Stock protected,601.44,EUR
MM-00016,MERCHANDISING,2026-07-03,Rules mined,33,rules
MM-00017,MERCHANDISING,2026-07-03,Cross-zone opportunities,26,rules
