ID,store_ID,posSystem_ID,businessDate,paymentMethod,itemCount,amount,currency_code
PM-WDF01-00000,WDF01,MOB1,2026-07-03,Card payment,56,239.9,EUR
PM-WDF01-00001,WDF01,SM01,2026-07-03,Card payment American Express,23,67.0,EUR
PM-WDF01-00002,WDF01,SM01,2026-07-03,Card payment 10,146,567.3,EUR
PM-WDF01-00003,WDF01,SM01,2026-07-03,Card payment VISA,446,1951.53,EUR
PM-WDF01-00004,WDF01,PF02,2026-07-03,Card payment 20,1664,6781.21,EUR
PM-WDF01-00005,WDF01,SM01,2026-07-03,Card payment 20,2,-14.66,EUR
PM-WDF01-00006,WDF01,SM01,2026-07-03,Card payment Master Card,215,996.58,EUR
PM-BLN01-00007,BLN01,MO-BLN01,2026-01-01,Card payment 20,3,7.33,EUR
PM-BLN01-00008,BLN01,MO-BLN01,2026-01-01,Card payment VISA,2,7.28,EUR
PM-BLN01-00009,BLN01,MO-BLN01,2026-01-02,Card payment 10,1,0.08,EUR
PM-BLN01-00010,BLN01,MO-BLN01,2026-01-02,Card payment 20,3,3.9,EUR
PM-BLN01-00011,BLN01,MO-BLN01,2026-01-02,Card payment VISA,1,0.25,EUR
PM-BLN01-00012,BLN01,MO-BLN01,2026-01-03,Card payment 20,1,2.58,EUR
PM-BLN01-00013,BLN01,MO-BLN01,2026-01-04,Card payment 20,2,3.65,EUR
PM-BLN01-00014,BLN01,MO-BLN01,2026-01-05,Card payment 20,2,12.85,EUR
PM-BLN01-00015,BLN01,MO-BLN01,2026-01-05,Card payment Master Card,1,13.5,EUR
PM-BLN01-00016,BLN01,MO-BLN01,2026-01-05,Card payment VISA,2,4.8,EUR
PM-BLN01-00017,BLN01,MO-BLN01,2026-01-06,Card payment 20,4,7.7,EUR
PM-BLN01-00018,BLN01,MO-BLN01,2026-01-06,Card payment Master Card,2,2.75,EUR
PM-BLN01-00019,BLN01,MO-BLN01,2026-01-06,Card payment VISA,1,2.41,EUR
PM-BLN01-00020,BLN01,MO-BLN01,2026-01-07,Card payment 20,3,10.15,EUR
PM-BLN01-00021,BLN01,MO-BLN01,2026-01-07,Card payment VISA,1,6.05,EUR
PM-BLN01-00022,BLN01,MO-BLN01,2026-01-08,Card payment 20,2,4.0,EUR
PM-BLN01-00023,BLN01,MO-BLN01,2026-01-09,Card payment 10,1,0.25,EUR
PM-BLN01-00024,BLN01,MO-BLN01,2026-01-09,Card payment 20,1,2.7,EUR
PM-BLN01-00025,BLN01,MO-BLN01,2026-01-09,Card payment VISA,2,4.55,EUR
PM-BLN01-00026,BLN01,MO-BLN01,2026-01-10,Card payment VISA,1,3.5,EUR
PM-BLN01-00027,BLN01,MO-BLN01,2026-01-11,Card payment 10,1,1.0,EUR
PM-BLN01-00028,BLN01,MO-BLN01,2026-01-11,Card payment 20,2,6.74,EUR
PM-BLN01-00029,BLN01,MO-BLN01,2026-01-12,Card payment 20,5,8.91,EUR
PM-BLN01-00030,BLN01,MO-BLN01,2026-01-13,Card payment 20,2,6.8,EUR
PM-BLN01-00031,BLN01,MO-BLN01,2026-01-13,Card payment VISA,1,4.2,EUR
PM-BLN01-00032,BLN01,MO-BLN01,2026-01-14,Card payment 20,3,8.4,EUR
PM-BLN01-00033,BLN01,MO-BLN01,2026-01-14,Card payment Master Card,1,5.1,EUR
PM-BLN01-00034,BLN01,MO-BLN01,2026-01-14,Card payment VISA,2,7.87,EUR
PM-BLN01-00035,BLN01,MO-BLN01,2026-01-15,Card payment 20,1,2.5,EUR
PM-BLN01-00036,BLN01,MO-BLN01,2026-01-15,Card payment Master Card,1,5.7,EUR
PM-BLN01-00037,BLN01,MO-BLN01,2026-01-15,Card payment VISA,1,1.4,EUR
PM-BLN01-00038,BLN01,MO-BLN01,2026-01-17,Card payment,1,3.8,EUR
PM-BLN01-00039,BLN01,MO-BLN01,2026-01-17,Card payment 20,1,2.5,EUR
PM-BLN01-00040,BLN01,MO-BLN01,2026-01-19,Card payment,1,2.98,EUR
PM-BLN01-00041,BLN01,MO-BLN01,2026-01-19,Card payment 10,2,6.3,EUR
PM-BLN01-00042,BLN01,MO-BLN01,2026-01-19,Card payment 20,3,2.4,EUR
PM-BLN01-00043,BLN01,MO-BLN01,2026-01-19,Card payment VISA,1,4.5,EUR
PM-BLN01-00044,BLN01,MO-BLN01,2026-01-20,Card payment 20,2,5.34,EUR
PM-BLN01-00045,BLN01,MO-BLN01,2026-01-21,Card payment 20,4,10.23,EUR
PM-BLN01-00046,BLN01,MO-BLN01,2026-01-21,Card payment Master Card,2,0.75,EUR
PM-BLN01-00047,BLN01,MO-BLN01,2026-01-22,Card payment 10,1,2.2,EUR
PM-BLN01-00048,BLN01,MO-BLN01,2026-01-22,Card payment 20,3,6.24,EUR
PM-BLN01-00049,BLN01,MO-BLN01,2026-01-22,Card payment Master Card,1,5.5,EUR
PM-BLN01-00050,BLN01,MO-BLN01,2026-01-23,Card payment,1,0.25,EUR
PM-BLN01-00051,BLN01,MO-BLN01,2026-01-23,Card payment 20,1,1.2,EUR
PM-BLN01-00052,BLN01,MO-BLN01,2026-01-24,Card payment 20,1,0.15,EUR
PM-BLN01-00053,BLN01,MO-BLN01,2026-01-25,Card payment 20,1,1.6,EUR
PM-BLN01-00054,BLN01,MO-BLN01,2026-01-26,Card payment,1,2.5,EUR
PM-BLN01-00055,BLN01,MO-BLN01,2026-01-26,Card payment 20,2,3.72,EUR
PM-BLN01-00056,BLN01,MO-BLN01,2026-01-27,Card payment 20,4,10.58,EUR
PM-BLN01-00057,BLN01,MO-BLN01,2026-01-27,Card payment VISA,2,3.1,EUR
PM-BLN01-00058,BLN01,MO-BLN01,2026-01-28,Card payment 20,2,3.35,EUR
PM-BLN01-00059,BLN01,MO-BLN01,2026-01-29,Card payment 20,5,28.05,EUR
PM-BLN01-00060,BLN01,MO-BLN01,2026-01-29,Card payment VISA,1,1.88,EUR
PM-BLN01-00061,BLN01,MO-BLN01,2026-01-30,Card payment 10,1,2.43,EUR
PM-BLN01-00062,BLN01,MO-BLN01,2026-01-30,Card payment 20,3,6.1,EUR
PM-BLN01-00063,BLN01,MO-BLN01,2026-02-01,Card payment 20,2,5.85,EUR
PM-BLN01-00064,BLN01,MO-BLN01,2026-02-02,Card payment 10,1,2.7,EUR
PM-BLN01-00065,BLN01,MO-BLN01,2026-02-02,Card payment 20,5,10.75,EUR
PM-BLN01-00066,BLN01,MO-BLN01,2026-02-03,Card payment 10,2,4.3,EUR
PM-BLN01-00067,BLN01,MO-BLN01,2026-02-03,Card payment 20,1,1.2,EUR
PM-BLN01-00068,BLN01,MO-BLN01,2026-02-04,Card payment 20,4,19.34,EUR
PM-BLN01-00069,BLN01,MO-BLN01,2026-02-04,Card payment VISA,1,0.25,EUR
PM-BLN01-00070,BLN01,MO-BLN01,2026-02-05,Card payment 20,3,9.03,EUR
PM-BLN01-00071,BLN01,MO-BLN01,2026-02-06,Card payment VISA,1,1.0,EUR
PM-BLN01-00072,BLN01,MO-BLN01,2026-02-08,Card payment 20,1,0.08,EUR
PM-BLN01-00073,BLN01,MO-BLN01,2026-02-09,Card payment,1,8.4,EUR
PM-BLN01-00074,BLN01,MO-BLN01,2026-02-09,Card payment 20,1,0.65,EUR
PM-BLN01-00075,BLN01,MO-BLN01,2026-02-10,Card payment 20,6,11.03,EUR
PM-BLN01-00076,BLN01,MO-BLN01,2026-02-10,Card payment Master Card,1,0.25,EUR
PM-BLN01-00077,BLN01,MO-BLN01,2026-02-10,Card payment VISA,1,2.22,EUR
