ID,receipt_ID,article_ID,quantity,unitPrice,netAmount,grossAmount,discountPct,discountType
RC-BLN01-0000001-0000000,RC-BLN01-0000001,AR90013,1.0,1.7,1.18,1.4,17.86,Price changed
RC-BLN01-0000002-0000001,RC-BLN01-0000002,AR00145,1.0,1.1,0.92,1.1,0.0,No discount
RC-BLN01-0000003-0000002,RC-BLN01-0000003,AR90003,1.0,0.15,0.13,0.15,0.0,No discount
RC-BLN01-0000004-0000003,RC-BLN01-0000004,AR90011,2.0,1.7,2.86,3.4,0.0,No discount
RC-BLN01-0000004-0000004,RC-BLN01-0000004,AR00395,1.0,2.5,2.34,2.5,0.0,No discount
RC-BLN01-0000005-0000005,RC-BLN01-0000005,AR00166,1.0,3.8,3.55,3.8,0.0,No discount
RC-BLN01-0000005-0000006,RC-BLN01-0000005,AR00327,1.0,3.95,3.69,3.95,0.0,No discount
RC-BLN01-0000006-0000007,RC-BLN01-0000006,AR00375,1.0,4.95,4.63,4.95,0.0,No discount
RC-BLN01-0000007-0000008,RC-BLN01-0000007,AR00240,1.0,1.9,1.78,1.9,0.0,No discount
RC-BLN01-0000008-0000009,RC-BLN01-0000008,AR90011,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000009-0000010,RC-BLN01-0000009,AR00140,1.0,2.9,2.71,2.9,0.0,No discount
RC-BLN01-0000010-0000011,RC-BLN01-0000010,AR00245,1.0,3.1,2.9,3.1,0.0,No discount
RC-BLN01-0000010-0000012,RC-BLN01-0000010,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000010-0000013,RC-BLN01-0000010,AR00365,1.0,3.75,3.5,3.75,0.0,No discount
RC-BLN01-0000011-0000014,RC-BLN01-0000011,AR90004,1.0,0.25,0.21,0.25,0.0,No discount
RC-BLN01-0000012-0000015,RC-BLN01-0000012,AR90013,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000013-0000016,RC-BLN01-0000013,AR00031,1.0,1.5,1.29,1.38,7.85,Price changed
RC-BLN01-0000014-0000017,RC-BLN01-0000014,AR90016,1.0,1.7,1.43,1.7,0.0,No discount
RC-BLN01-0000015-0000018,RC-BLN01-0000015,AR00076,1.0,5.5,4.63,5.5,0.0,No discount
RC-BLN01-0000015-0000019,RC-BLN01-0000015,AR90055,1.0,1.7,1.43,1.7,0.0,No discount
