ID,receiptNumber,store_ID,posSystem_ID,customer_ID,businessDate,createdAt,netRevenue,vatAmount,grossAmount,discountAmount,currency_code,paymentMethod,itemCount,dwellSeconds
RC-BLN01-0000001,BLN01-0000001,BLN01,SM-BLN01,,2026-01-01,2026-01-01T08:07:14Z,1.18,0.22,1.4,0.3,EUR,Card payment 20,1,35
RC-BLN01-0000002,BLN01-0000002,BLN01,SM-BLN01,,2026-01-01,2026-01-01T09:44:26Z,0.92,0.18,1.1,0.0,EUR,Card payment 20,1,111
RC-BLN01-0000003,BLN01-0000003,BLN01,SM-BLN01,,2026-01-01,2026-01-01T10:58:19Z,0.13,0.02,0.15,0.0,EUR,Card payment 20,1,89
RC-BLN01-0000004,BLN01-0000004,BLN01,MO-BLN01,CUST00074,2026-01-01,2026-01-01T11:16:17Z,5.2,0.7,5.9,0.0,EUR,Card payment VISA,2,129
RC-BLN01-0000005,BLN01-0000005,BLN01,SM-BLN01,,2026-01-01,2026-01-01T12:07:41Z,7.24,0.51,7.75,0.0,EUR,Card payment 20,2,120
RC-BLN01-0000006,BLN01-0000006,BLN01,SM-BLN01,CUST00113,2026-01-01,2026-01-01T12:42:00Z,4.63,0.32,4.95,0.0,EUR,Card payment 20,1,45
RC-BLN01-0000007,BLN01-0000007,BLN01,SM-BLN01,,2026-01-01,2026-01-01T12:20:08Z,1.78,0.12,1.9,0.0,EUR,Card payment,1,139
RC-BLN01-0000008,BLN01-0000008,BLN01,SM-BLN01,,2026-01-01,2026-01-01T12:21:58Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,132
RC-BLN01-0000009,BLN01-0000009,BLN01,MO-BLN01,,2026-01-01,2026-01-01T13:40:11Z,2.71,0.19,2.9,0.0,EUR,Card payment 20,1,176
RC-BLN01-0000010,BLN01-0000010,BLN01,SM-BLN01,,2026-01-01,2026-01-01T13:45:54Z,6.61,0.49,7.1,0.0,EUR,Card payment 20,3,62
RC-BLN01-0000011,BLN01-0000011,BLN01,SM-BLN01,,2026-01-01,2026-01-01T13:52:20Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,131
RC-BLN01-0000012,BLN01-0000012,BLN01,SM-BLN01,,2026-01-01,2026-01-01T14:00:46Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,142
RC-BLN01-0000013,BLN01-0000013,BLN01,MO-BLN01,CUST00418,2026-01-01,2026-01-01T14:22:56Z,1.29,0.09,1.38,0.12,EUR,Card payment VISA,1,149
RC-BLN01-0000014,BLN01-0000014,BLN01,SM-BLN01,CUST00015,2026-01-01,2026-01-01T14:46:33Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,212
RC-BLN01-0000015,BLN01-0000015,BLN01,SM-BLN01,,2026-01-01,2026-01-01T14:28:41Z,6.06,1.14,7.2,0.0,EUR,Card payment 20,2,121
RC-BLN01-0000016,BLN01-0000016,BLN01,SM-BLN01,,2026-01-01,2026-01-01T14:06:19Z,1.31,0.25,1.56,0.39,EUR,Card payment 20,2,175
RC-BLN01-0000017,BLN01-0000017,BLN01,SM-BLN01,,2026-01-01,2026-01-01T15:21:12Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,137
RC-BLN01-0000018,BLN01-0000018,BLN01,MO-BLN01,,2026-01-01,2026-01-01T15:29:42Z,2.02,0.38,2.4,0.0,EUR,Card payment 20,1,139
RC-BLN01-0000019,BLN01-0000019,BLN01,SM-BLN01,CUST00365,2026-01-01,2026-01-01T16:39:16Z,2.34,0.16,2.5,0.0,EUR,Card payment 10,1,153
RC-BLN01-0000020,BLN01-0000020,BLN01,SM-BLN01,,2026-01-01,2026-01-01T16:53:44Z,1.43,0.27,1.7,0.0,EUR,Card payment Master Card,1,150
RC-BLN01-0000021,BLN01-0000021,BLN01,SM-BLN01,,2026-01-01,2026-01-01T16:06:20Z,0.1,0.02,0.12,0.03,EUR,Card payment 20,1,43
RC-BLN01-0000022,BLN01-0000022,BLN01,SM-BLN01,CUST00419,2026-01-01,2026-01-01T17:47:41Z,1.12,0.08,1.2,0.0,EUR,Card payment 20,1,127
RC-BLN01-0000023,BLN01-0000023,BLN01,SM-BLN01,CUST00040,2026-01-01,2026-01-01T17:20:58Z,3.66,0.69,4.35,0.1,EUR,Card payment VISA,3,130
RC-BLN01-0000024,BLN01-0000024,BLN01,MO-BLN01,,2026-01-01,2026-01-01T18:05:18Z,1.7,0.32,2.03,0.0,EUR,Card payment 20,2,111
RC-BLN01-0000025,BLN01-0000025,BLN01,SM-BLN01,CUST00363,2026-01-01,2026-01-01T18:04:19Z,5.84,0.41,6.25,0.0,EUR,Card payment 20,2,100
RC-BLN01-0000026,BLN01-0000026,BLN01,SM-BLN01,,2026-01-01,2026-01-01T18:26:07Z,1.03,0.1,1.13,0.12,EUR,Card payment 20,2,115
RC-BLN01-0000027,BLN01-0000027,BLN01,SM-BLN01,CUST00412,2026-01-01,2026-01-01T19:10:42Z,0.42,0.08,0.5,0.0,EUR,Card payment 20,1,122
RC-BLN01-0000028,BLN01-0000028,BLN01,SM-BLN01,,2026-01-01,2026-01-01T20:46:01Z,1.22,0.23,1.45,0.0,EUR,Card payment Master Card,2,139
RC-BLN01-0000029,BLN01-0000029,BLN01,SM-BLN01,CUST00403,2026-01-01,2026-01-01T20:55:17Z,2.71,0.19,2.9,0.0,EUR,Card payment 20,1,150
RC-BLN01-0000030,BLN01-0000030,BLN01,SM-BLN01,CUST00185,2026-01-01,2026-01-01T21:18:25Z,1.43,0.27,1.7,0.0,EUR,Card payment 20,1,100
RC-BLN01-0000031,BLN01-0000031,BLN01,SM-BLN01,,2026-01-01,2026-01-01T21:19:02Z,0.8,0.15,0.95,0.25,EUR,Card payment 20,1,124
RC-BLN01-0000032,BLN01-0000032,BLN01,SM-BLN01,CUST00403,2026-01-01,2026-01-01T22:41:14Z,1.78,0.12,1.9,0.0,EUR,Card payment 20,1,127
RC-BLN01-0000033,BLN01-0000033,BLN01,MO-BLN01,CUST00016,2026-01-02,2026-01-02T08:06:07Z,0.13,0.02,0.15,0.0,EUR,Card payment 20,1,154
RC-BLN01-0000034,BLN01-0000034,BLN01,SM-BLN01,,2026-01-02,2026-01-02T12:44:01Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,132
RC-BLN01-0000035,BLN01-0000035,BLN01,SM-BLN01,,2026-01-02,2026-01-02T12:04:34Z,0.13,0.02,0.15,0.0,EUR,Card payment 10,1,92
RC-BLN01-0000036,BLN01-0000036,BLN01,SM-BLN01,,2026-01-02,2026-01-02T12:47:36Z,1.83,0.13,1.95,0.55,EUR,Card payment 20,1,111
RC-BLN01-0000037,BLN01-0000037,BLN01,SM-BLN01,,2026-01-02,2026-01-02T13:27:43Z,1.34,0.26,1.6,0.0,EUR,Card payment Master Card,1,125
RC-BLN01-0000038,BLN01-0000038,BLN01,SM-BLN01,CUST00465,2026-01-02,2026-01-02T13:41:51Z,0.13,0.02,0.15,0.0,EUR,Card payment 20,1,148
RC-BLN01-0000039,BLN01-0000039,BLN01,SM-BLN01,,2026-01-02,2026-01-02T13:31:06Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,115
RC-BLN01-0000040,BLN01-0000040,BLN01,SM-BLN01,,2026-01-02,2026-01-02T14:20:53Z,5.67,0.83,6.5,0.0,EUR,Card payment Master Card,3,109
RC-BLN01-0000041,BLN01-0000041,BLN01,SM-BLN01,CUST00365,2026-01-02,2026-01-02T14:04:33Z,2.34,0.16,2.5,0.0,EUR,Card payment 10,1,73
RC-BLN01-0000042,BLN01-0000042,BLN01,MO-BLN01,,2026-01-02,2026-01-02T14:01:35Z,0.07,0.01,0.08,0.0,EUR,Card payment 10,1,94
RC-BLN01-0000043,BLN01-0000043,BLN01,SM-BLN01,,2026-01-02,2026-01-02T14:18:04Z,2.24,0.32,2.56,0.14,EUR,Card payment VISA,2,123
RC-BLN01-0000044,BLN01-0000044,BLN01,SM-BLN01,CUST00356,2026-01-02,2026-01-02T15:46:54Z,3.25,0.23,3.47,0.23,EUR,Card payment 20,2,149
RC-BLN01-0000045,BLN01-0000045,BLN01,SM-BLN01,,2026-01-02,2026-01-02T15:28:25Z,1.31,0.09,1.4,0.0,EUR,Card payment 20,1,74
RC-BLN01-0000046,BLN01-0000046,BLN01,SM-BLN01,CUST00058,2026-01-02,2026-01-02T15:05:28Z,1.01,0.19,1.2,0.0,EUR,Card payment 20,1,118
RC-BLN01-0000047,BLN01-0000047,BLN01,SM-BLN01,CUST00129,2026-01-02,2026-01-02T15:45:02Z,1.38,0.1,1.47,1.03,EUR,Card payment 20,1,142
RC-BLN01-0000048,BLN01-0000048,BLN01,SM-BLN01,,2026-01-02,2026-01-02T15:05:06Z,2.9,0.2,3.1,0.0,EUR,Card payment VISA,1,109
RC-BLN01-0000049,BLN01-0000049,BLN01,MO-BLN01,,2026-01-02,2026-01-02T16:35:09Z,0.21,0.04,0.25,0.0,EUR,Card payment VISA,1,95
RC-BLN01-0000050,BLN01-0000050,BLN01,SM-BLN01,,2026-01-02,2026-01-02T16:08:16Z,1.43,0.27,1.7,0.0,EUR,Card payment 10,1,188
RC-BLN01-0000051,BLN01-0000051,BLN01,SM-BLN01,,2026-01-02,2026-01-02T17:26:12Z,3.83,0.27,4.1,0.0,EUR,Card payment 20,2,134
RC-BLN01-0000052,BLN01-0000052,BLN01,MO-BLN01,CUST00153,2026-01-02,2026-01-02T18:39:50Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,109
RC-BLN01-0000053,BLN01-0000053,BLN01,SM-BLN01,,2026-01-02,2026-01-02T19:47:37Z,3.64,0.25,3.89,0.0,EUR,Card payment 20,1,169
RC-BLN01-0000054,BLN01-0000054,BLN01,MO-BLN01,CUST00121,2026-01-02,2026-01-02T20:57:51Z,3.27,0.23,3.5,0.0,EUR,Card payment 20,2,172
RC-BLN01-0000055,BLN01-0000055,BLN01,SM-BLN01,,2026-01-02,2026-01-02T21:41:50Z,1.78,0.12,1.9,0.0,EUR,Card payment Master Card,1,123
RC-BLN01-0000056,BLN01-0000056,BLN01,SM-BLN01,,2026-01-03,2026-01-03T12:54:52Z,1.87,0.13,2.0,0.0,EUR,Card payment 20,1,159
RC-BLN01-0000057,BLN01-0000057,BLN01,SM-BLN01,,2026-01-03,2026-01-03T13:10:01Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,133
RC-BLN01-0000058,BLN01-0000058,BLN01,SM-BLN01,,2026-01-03,2026-01-03T14:44:23Z,1.34,0.26,1.6,0.0,EUR,Card payment VISA,1,137
RC-BLN01-0000059,BLN01-0000059,BLN01,SM-BLN01,CUST00465,2026-01-03,2026-01-03T15:40:37Z,3.7,0.26,3.96,0.93,EUR,Card payment 20,2,143
RC-BLN01-0000060,BLN01-0000060,BLN01,SM-BLN01,,2026-01-03,2026-01-03T16:02:27Z,0.16,0.03,0.19,0.06,EUR,Card payment 20,1,101
RC-BLN01-0000061,BLN01-0000061,BLN01,MO-BLN01,CUST00439,2026-01-03,2026-01-03T17:14:19Z,2.41,0.17,2.58,0.0,EUR,Card payment 20,2,117
RC-BLN01-0000062,BLN01-0000062,BLN01,SM-BLN01,,2026-01-04,2026-01-04T09:18:52Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,25
RC-BLN01-0000063,BLN01-0000063,BLN01,SM-BLN01,,2026-01-04,2026-01-04T11:52:04Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,78
RC-BLN01-0000064,BLN01-0000064,BLN01,SM-BLN01,,2026-01-04,2026-01-04T12:58:06Z,1.13,0.1,1.23,0.02,EUR,Card payment 20,2,97
RC-BLN01-0000065,BLN01-0000065,BLN01,SM-BLN01,,2026-01-04,2026-01-04T13:50:45Z,2.38,0.17,2.55,0.03,EUR,Card payment 20,2,141
RC-BLN01-0000066,BLN01-0000066,BLN01,SM-BLN01,CUST00023,2026-01-04,2026-01-04T14:56:46Z,2.34,0.16,2.5,0.0,EUR,Card payment 20,1,146
RC-BLN01-0000067,BLN01-0000067,BLN01,SM-BLN01,,2026-01-04,2026-01-04T14:48:42Z,0.07,0.01,0.08,0.0,EUR,Card payment,1,137
RC-BLN01-0000068,BLN01-0000068,BLN01,SM-BLN01,,2026-01-04,2026-01-04T14:01:24Z,2.52,0.18,2.7,0.0,EUR,Card payment VISA,1,74
RC-BLN01-0000069,BLN01-0000069,BLN01,SM-BLN01,,2026-01-04,2026-01-04T15:46:38Z,0.21,0.04,0.25,0.0,EUR,Card payment 20,1,110
RC-BLN01-0000070,BLN01-0000070,BLN01,MO-BLN01,,2026-01-04,2026-01-04T16:53:30Z,2.97,0.43,3.4,0.0,EUR,Card payment 20,2,84
RC-BLN01-0000071,BLN01-0000071,BLN01,SM-BLN01,,2026-01-04,2026-01-04T16:12:14Z,0.47,0.03,0.5,0.0,EUR,Card payment 10,1,108
