ID,store_ID,article_ID,businessDate,returnCount,returnedQuantity,returnedAmount,reason,currency_code
RT-WDF01-00000,WDF01,SM0015,2026-04-27,1,1.0,0.54,No reason,EUR
RT-WDF01-00001,WDF01,IKA011,2026-04-22,1,1.0,1.99,No reason,EUR
RT-WDF01-00002,WDF01,IKA018,2026-01-20,1,1.0,2.49,No reason,EUR
RT-WDF01-00003,WDF01,SM0018,2026-05-13,1,1.0,2.96,No reason,EUR
RT-WDF01-00004,WDF01,SM0016,2026-02-21,1,2.0,3.19,No reason,EUR
RT-WDF01-00005,WDF01,IKA003,2026-02-03,1,1.0,3.49,No reason,EUR
RT-WDF02-00006,WDF02,AR00218,2026-01-21,1,2.0,3.8,Expired on shelf,EUR
RT-WDF02-00007,WDF02,AR00400,2026-02-03,1,2.0,2.4,Expired on shelf,EUR
RT-WDF02-00008,WDF02,AR90021,2026-03-04,1,2.0,9.8,Quality complaint,EUR
RT-WDF02-00009,WDF02,AR00172,2026-03-18,1,2.0,7.9,No reason,EUR
RT-WDF02-00010,WDF02,AR00244,2026-03-19,1,2.0,5.0,Quality complaint,EUR
RT-WDF02-00011,WDF02,AR00062,2026-03-26,1,2.0,3.8,Damaged packaging,EUR
RT-WDF02-00012,WDF02,AR00131,2026-03-31,1,1.0,6.9,No reason,EUR
RT-WDF02-00013,WDF02,AR00113,2026-04-16,1,2.0,3.8,Expired on shelf,EUR
RT-WDF02-00014,WDF02,AR00448,2026-05-12,1,1.0,3.89,No reason,EUR
RT-WDF02-00015,WDF02,AR00380,2026-05-20,1,2.0,7.5,Expired on shelf,EUR
RT-WDF02-00016,WDF02,AR00134,2026-05-29,1,2.0,7.0,Damaged packaging,EUR
RT-WDF02-00017,WDF02,AR00003,2026-06-02,1,1.0,1.0,Wrong item,EUR
RT-WDF02-00018,WDF02,AR00041,2026-06-04,1,2.0,6.6,Wrong item,EUR
RT-WDF02-00019,WDF02,AR00071,2026-06-26,1,2.0,5.8,Quality complaint,EUR
RT-STR01-00020,STR01,AR00041,2026-01-08,1,1.0,3.3,Expired on shelf,EUR
RT-STR01-00021,STR01,AR00209,2026-02-16,1,1.0,0.5,Quality complaint,EUR
RT-STR01-00022,STR01,AR90011,2026-02-18,1,2.0,3.4,Quality complaint,EUR
RT-STR01-00023,STR01,AR00159,2026-06-03,1,2.0,7.6,Wrong item,EUR
