ID,store_ID,article_ID,readingAt,sensorType,value,unit,isAnomaly
SN-WDF01-AR90004-2026-06-27-9-V,WDF01,AR90004,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.285,ratio,False
SN-WDF01-AR90004-2026-06-27-13-V,WDF01,AR90004,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.484,ratio,False
SN-WDF01-AR90004-2026-06-27-17-V,WDF01,AR90004,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.677,ratio,False
SN-WDF01-AR90003-2026-06-27-9-V,WDF01,AR90003,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.564,ratio,False
SN-WDF01-AR90003-2026-06-27-13-V,WDF01,AR90003,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.411,ratio,False
SN-WDF01-AR90003-2026-06-27-17-V,WDF01,AR90003,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.559,ratio,False
SN-WDF01-AR90013-2026-06-27-9-V,WDF01,AR90013,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.512,ratio,False
SN-WDF01-AR90013-2026-06-27-13-V,WDF01,AR90013,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.715,ratio,False
SN-WDF01-AR90013-2026-06-27-17-V,WDF01,AR90013,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.365,ratio,False
SN-WDF01-AR90002-2026-06-27-9-V,WDF01,AR90002,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.366,ratio,False
SN-WDF01-AR90002-2026-06-27-13-V,WDF01,AR90002,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.766,ratio,False
SN-WDF01-AR90002-2026-06-27-17-V,WDF01,AR90002,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.389,ratio,False
SN-WDF01-AR90039-2026-06-27-9-V,WDF01,AR90039,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.485,ratio,False
SN-WDF01-AR90039-2026-06-27-13-V,WDF01,AR90039,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.8,ratio,False
SN-WDF01-AR90039-2026-06-27-17-V,WDF01,AR90039,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.663,ratio,False
SN-WDF01-AR90018-2026-06-27-9-V,WDF01,AR90018,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.688,ratio,False
SN-WDF01-AR90018-2026-06-27-13-V,WDF01,AR90018,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.474,ratio,False
SN-WDF01-AR90018-2026-06-27-17-V,WDF01,AR90018,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.686,ratio,False
SN-WDF01-AR00395-2026-06-27-9-V,WDF01,AR00395,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.643,ratio,False
SN-WDF01-AR00395-2026-06-27-13-V,WDF01,AR00395,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.228,ratio,False
SN-WDF01-AR00395-2026-06-27-17-V,WDF01,AR00395,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.632,ratio,False
SN-WDF01-AR00394-2026-06-27-9-V,WDF01,AR00394,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.982,ratio,False
SN-WDF01-AR00394-2026-06-27-13-V,WDF01,AR00394,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.744,ratio,False
SN-WDF01-AR00394-2026-06-27-17-V,WDF01,AR00394,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.096,ratio,True
SN-WDF01-AR00136-2026-06-27-9-V,WDF01,AR00136,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.789,ratio,False
SN-WDF01-AR00136-2026-06-27-13-V,WDF01,AR00136,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.659,ratio,False
SN-WDF01-AR00136-2026-06-27-17-V,WDF01,AR00136,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.439,ratio,False
SN-WDF01-AR90034-2026-06-27-9-V,WDF01,AR90034,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.93,ratio,False
SN-WDF01-AR90034-2026-06-27-13-V,WDF01,AR90034,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.996,ratio,False
SN-WDF01-AR90034-2026-06-27-17-V,WDF01,AR90034,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.566,ratio,False
SN-WDF01-AR90015-2026-06-27-9-V,WDF01,AR90015,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.953,ratio,False
SN-WDF01-AR90015-2026-06-27-13-V,WDF01,AR90015,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.663,ratio,False
SN-WDF01-AR90015-2026-06-27-17-V,WDF01,AR90015,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.577,ratio,False
SN-WDF01-AR00188-2026-06-27-9-V,WDF01,AR00188,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.238,ratio,False
SN-WDF01-AR00188-2026-06-27-13-V,WDF01,AR00188,2026-06-27T13:00:00Z,VISION_STOCKOUT,1.0,ratio,False
SN-WDF01-AR00188-2026-06-27-17-V,WDF01,AR00188,2026-06-27T17:00:00Z,VISION_STOCKOUT,0.275,ratio,False
SN-WDF01-AR00080-2026-06-27-9-V,WDF01,AR00080,2026-06-27T09:00:00Z,VISION_STOCKOUT,0.528,ratio,False
SN-WDF01-AR00080-2026-06-27-13-V,WDF01,AR00080,2026-06-27T13:00:00Z,VISION_STOCKOUT,0.53,ratio,False
